candidate	ed_perc
Clinton	0.021826625
Steyer	0.023081722
Landrieu	0.024480942
Booker	0.027406417
Bloomberg	0.030669145
Castro	0.03559322
Delaney	0.037607891
Merkley	0.037622683
Yang	0.042673361
Gabbard	0.043303433
Gillibrand	0.043744264
Klobuchar	0.046712803
Sanders	0.046787274
Ojeda	0.047425897
Buttigieg	0.048118445
Brown	0.049129353
Swalwell	0.051166407
Hickenlooper	0.051352705
Biden	0.055555556
Harris	0.056154768
ORourke	0.063819876
Warren	0.066929134
Cuomo	0.0684966
Inslee	0.088785047
Bullock	0.120151885
