 Date, Tweet Text, Tweet ID,Candidate, Tweet Favorite Count, Tweet Place, Candidate Account, Tweet Retweet Count
2018-05-27 15:33:10,"In a moment of crisis, Jason Seaman showed incredible courage. Running directly into gunfire to save his students’ lives. What a hero. https://t.co/hLDnEwIV0s",1000761840127938560,Biden,10967,,Biden_campaign,1380
2018-02-15 13:52:59,I am at a loss for what more to say. I grieve with the families in Parkland today. I grieve with the families across the country who have suffered loss due to gun violence. Congress has a moral obligation to take action and spare more families from this violence.,964135454353354752,Biden,77544,,Biden_campaign,16114
2017-12-15 00:04:19,It’s been five years since 20 first-graders and 6 educators were murdered by a gunman at Sandy Hook Elementary School. Their families continue to inspire me with their courage in turning tragedy into purpose. https://t.co/RSOU6d7dXI,941458866516217858,Biden,20806,,Biden_campaign,3937
2014-05-01 18:00:54,Ending violence against women is my passion. I couldn't be prouder of http://t.co/Bis94relFN &amp; the students who helped make it happen. -Joe,461928260654596096,Biden,212,,Biden_campaign,208
2012-12-22 00:38:09,"RT @VP: After #Newtown, people are calling for action to reduce gun violence. The President &amp; VP are listening &amp; taking action:  ...",282283851420667904,Biden,0,,Biden_campaign,801
2018-11-20 14:40:38,".@CoralSpringsFL, along w/ the City of Parkland, is a winner in the 2018 @BloombergDotOrg #PublicArtChallenge for their project “Inspiring Community Healing After Gun Violence: The Power of Art.” https://t.co/uTYztA1yGr",1064891273373540352,Bloomberg,236,,Bloomberg_campaign,61
2018-04-27 11:12:39,"As teacher walkouts and protests spread across the country, @RWeingarten and I see a great opportunity to turn tension into progress. https://t.co/gQgzHhQ7VE",989824640985034752,Bloomberg,291,,Bloomberg_campaign,108
2018-03-24 20:43:38,The students marching today have ignited a movement in our nation. They have shown us that smarter gun laws are possible – but only if we demand action from our representatives. https://t.co/iCGyVFFZbE,977647148467671041,Bloomberg,6074,,Bloomberg_campaign,1195
2018-03-19 15:46:44,"This Saturday, students across the country will demand action on common-sense gun safety laws. Join them and millions of Americans for the March For Our Lives on Saturday, 3/24. Find a march near you at https://t.co/PsiIeyleig https://t.co/taBuqtOG3M",975760492189966341,Bloomberg,754,,Bloomberg_campaign,246
2018-02-27 16:16:33,RT @Everytown: Everytown and @MomsDemand are proud to partner with Marjory Stoneman Douglas students on @AMarch4OurLives! Find a 3/24 #Marc…,968520238039011329,Bloomberg,0,,Bloomberg_campaign,313
2017-12-14 14:19:24,"A moving piece from @VICEnews reminding us of the tragedy of Sandy Hook five years ago. Through @Everytown &amp; @MomsDemand, we’re committed to honoring all victims &amp; survivors of gun violence with action today &amp; every day. https://t.co/uWnncgVB8J",941311664741404674,Bloomberg,698,,Bloomberg_campaign,339
2016-05-13 13:27:08,"""Safe spaces"" threaten the future of higher education and the fabric of our free society. https://t.co/EwVK4aNnaS via @WSJ with Charles Koch",731113550362628096,Bloomberg,165,,Bloomberg_campaign,119
2013-10-04 17:14:37,".@CoryBooker brought $400+ million in philanthropic giving to Newark used to strengthen schools, public safety, parks http://t.co/5VE6su1x0b",386177549841494016,Booker,2,,Booker_campaign,6
2013-08-08 23:21:47,".@CoryBooker brought $400+ million in philanthropic giving to Newark used to strengthen schools, public safety, parks http://t.co/Y1nZLJiTsa",365613840815226880,Booker,2,,Booker_campaign,4
2018-05-19 13:47:33,"RT @FrankLuntz: American deaths so far in 2018…

• Deployed military: 29
• Kids at school:      31

https://t.co/WdwaeCTFM7",997836155977596928,Booker,0,,Booker_office,937
2018-05-18 18:48:30,"That a young child thinks a school shooting is inevitable in America is utterly heartbreaking and unacceptable! 

This can't ever become our normal.

#EnoughIsEnough! https://t.co/4Avv5EAXQo",997549507876356096,Booker,2223,,Booker_office,674
2018-05-18 18:46:10,"Santa Fe High School deserves better. 

ALL AMERICA’S CHILDREN DESERVE BETTER. 

We've become a nation where our kids feel afraid to go to school, where parents wonder if their children will come home alive.  

Thoughts &amp; prayers aren’t enough! We need action and legislation.",997548918761250816,Booker,10944,,Booker_office,2700
2018-05-01 12:01:36,RT @SenBooker: Students Demand Action Bergen County—a group of high school gun violence prevention activists from 23 high schools covering…,991286514125606912,Booker,0,,Booker_office,66
2018-03-24 15:16:39,"Ahead of the #MarchForOurLives – this is my message to all the brave student activists demanding action to stop gun violence in our nation.

This is not just a moment. This is a movement. https://t.co/46LhXG3o3D",977564858815217665,Booker,4240,,Booker_office,996
2018-03-22 20:31:52,"Tonight 11:30 ET/PT on Comedy Central’s The Opposition:

I will be discussing gun safety with @jordanklepper and talking with some student activists ahead of the March For Our Lived https://t.co/7GiojjADO2",976919409104125952,Booker,1267,,Booker_office,206
2018-03-14 15:21:14,RT @JaclynCorin: WE ARE THE CHANGE. #NationalSchoolWalkout,973942132741373952,Booker,0,,Booker_office,654
2018-03-14 15:18:49,"RT @ArianaLopez_MSD: Repost this as much as you possibly can. Please. He wasn't one of us at our school, but he is a victim of violence. Ho…",973941528312852481,Booker,0,,Booker_office,5312
2018-03-13 20:06:30,"The dream of our land can’t be real or secure or safe anywhere until it is made so everywhere. 

We have common pain, let us unite in common purpose. 

Columbine and Camden; Newtown and Newark; Parkland and Paterson. 

Never Again, Never Again, Never Again.",973651535182946304,Booker,5553,,Booker_office,1309
2018-02-26 20:00:15,"RT @CNN: Teachers are using the hashtag #ArmMeWith to propose other resources they would rather be armed with, such as more funding, additi…",968214144209088514,Booker,0,,Booker_office,3274
2018-02-23 01:15:45,"""If you have no critics you'll likely have no success.""
Malcolm X

Sir, your personal attacks will fail.

Your millions of gun industry dollars blocking common sense gun safety will fail. 

You're on the wrong side of history. 

Change is coming. 

Parkland is leading the way. https://t.co/Z6I6MhDISg",966843990568939520,Booker,10329,,Booker_office,2173
2018-02-19 18:57:55,"RT @ABC: Survivors of the school shooting in Florida are calling for a march on Washington to demand action on gun control. ""People are say…",965661741983191040,Booker,0,,Booker_office,13650
2018-02-19 18:48:28,"RT @NBCNews: ""We call BS!"" Student from Marjory Stoneman Douglas High School leads chant on lawmakers' responses to gun violence after scho…",965659365813473280,Booker,0,,Booker_office,17711
2018-09-07 18:53:42,"Turn up the volume and listen to @AalayahEastmond's powerful testimony on her experience as a gun violence survivor in Parkland. She brought me to tears as I was sitting in Judiciary Committee listening to her story.

I hope Brett Kavanaugh was listening too. https://t.co/bWT8M0F3Gk",1038138256653778944,Booker,16447,,Booker_staff,7388
2018-04-26 18:00:05,Students Demand Action Bergen County—a group of high school gun violence prevention activists from 23 high schools covering 31 municipalities in Bergen County—is holding a community forum this Sunday. Details below! @sdabergencounty https://t.co/8YuQCvesbr,989564787200839686,Booker,162,,Booker_staff,66
2018-03-24 15:22:55,RT @M_Breen: Meeting student leaders with @CoryBooker before we all join #MarchForOurLives https://t.co/dYsoyzGIYD,977566437983301632,Booker,0,,Booker_staff,32
2018-03-24 15:22:30,RT @CoryBooker: Ahead of the #MarchForOurLives – this is my message to all the brave student activists demanding action to stop gun violenc…,977566333960441857,Booker,0,,Booker_staff,996
2018-03-24 15:08:41,"RT @svetashko: “Today we march for the #Parkland 17 and for the 13,000 children lost to gun violence every year. We march because our broke…",977562855879962624,Booker,0,,Booker_staff,42
2018-03-01 14:09:02,RT @JDSalant: .@CoryBooker to Senate: 'To not act is to be complicit' in gun deaths after Parkland shooting https://t.co/2Ac0Woyi0m,969212924307927042,Booker,0,,Booker_staff,14
2018-01-23 21:42:20,"Another senseless, tragic mass shooting today, at a school in Kentucky. Congress must take action and do more to stop these preventable shootings from happening. https://t.co/CxekKHtYLz",955918648245456897,Booker,511,,Booker_staff,178
2017-06-10 14:23:03,.@CoryBooker joins @RepJoshG announcing legislation to ensure safe drinking water in schools across the nation: https://t.co/JMZaRSoo6S,873546054947438593,Booker,103,,Booker_staff,28
2017-06-09 17:31:27,Student activism is alive! Watch &amp; share this short film from NJ students on importance of safe subsidized housing: https://t.co/m5cEIZJz1R,873231076306673670,Booker,43,,Booker_staff,17
2017-06-07 14:50:58,RT @RepJoshG: .@CoryBooker and I are working on a plan to make New Jersey school drinking water safer and lead-free. https://t.co/sK4Kn7JXIV,872465916419858432,Booker,0,,Booker_staff,14
2018-12-14 18:02:43,"Six years ago today, 20 children and 6 teachers lost their lives in a heartbreaking act of gun violence at Sandy Hook Elementary School. 

Today, we remember those taken from us too soon, and recommit to speaking out for common-sense steps to prevent more senseless tragedies.",1073639435957358592,Brown,216,,Brown_campaign,44
2018-12-11 02:05:24,"Guns do not belong in schools. Enough.

https://t.co/vMHdxXDSav",1072311357440225288,Brown,159,,Brown_campaign,33
2018-10-17 22:36:53,"It was inspiring to spend time today with students at Ohio State before they early voted. Together, we're fighting for the future of our country—to make this a safer, more equal place for all Americans. 

20 days. Let's keep working. https://t.co/JqjcoBcm24",1052689937412358144,Brown,76,,Brown_campaign,14
2018-08-23 15:36:13,"Guns do not belong in schools. Period.

https://t.co/Rc4r7U8WHo",1032652741385039873,Brown,325,,Brown_campaign,105
2018-08-22 02:07:15,"It's malpractice if we don't vote: On everything from climate change to student loans to gun safety to LGBTQ rights to womens' rights, it's up to us to fight for progress.",1032086770253524993,Brown,234,,Brown_campaign,84
2018-07-05 17:45:58,"Contrary to what Mitch McConnell believes, there are meaningful, common-sense steps we can take to promote gun safety, and to make our schools and communities safer.

Congressional leadership's unwillingness to act on this issue is absurd. https://t.co/yH9XKPFjsI",1014928384646897665,Brown,300,,Brown_campaign,77
2018-06-11 18:58:47,"An incredibly moving performance.

Too many of our nation's students know what it's like to lose a friend or loved one to an act of gun violence. 

But as long as these young people are leading the way, we will change this country.

https://t.co/g4tARyiJtH",1006249401218748416,Brown,117,,Brown_campaign,27
2018-06-06 01:10:55,"Our schools are places of learning, not battlefields.

https://t.co/3QuFrdIG8a",1004168725279531015,Brown,77,,Brown_campaign,17
2018-06-01 16:29:18,"No one should feel unsafe at school, a movie theater, a concert, church, or a nightclub.

Standing with all those wearing orange to honor those we've lost to senseless acts of gun violence. We need to keep raising our voices until common-sense gun safety is a reality. #WearOrange",1002587906584784896,Brown,238,,Brown_campaign,51
2018-05-30 20:25:24,"Benje's absolutely right. All children deserve to feel safe going to school.

https://t.co/OpJtw0tHCF",1001922548320428032,Brown,56,,Brown_campaign,16
2018-04-20 14:42:02,"Standing with the students participating in today's #NationalSchoolWalkout. 

19 years ago, we lost 13 lives at Columbine High School. To see this movement led by students who weren't even born at that time should give us all hope that 19 years from now, things will be different.",987340620615348224,Brown,332,,Brown_campaign,93
2018-04-10 21:22:34,"Access to mental health resources is so important. Glad to see @OhioState is taking steps to keep more students safe.

https://t.co/5eBVIaNcrs",983817539837939712,Brown,57,,Brown_campaign,15
2018-03-25 20:04:46,"Guns that are made to kill the maximum number of people in the shortest period of time belong on the battlefield, not in our schoolyards.

https://t.co/QPvGKQQwue",977999755921018881,Brown,216,,Brown_campaign,42
2018-03-24 21:23:34,"Today, I marched for my grandchildren. I marched for students and educators. I marched for gun violence survivors and their families. I marched for those whose lives were taken too soon.

Thank you to the courageous young adults leading this movement. We need you. https://t.co/O2dWTX3hoT",977657197088911361,Brown,2146,,Brown_campaign,371
2018-03-24 17:27:59,"""I’m going to be a teacher and I don’t want to have to be armed to protect my students. I want to make a difference in children’s lives, and ensure through my work that they can go on to be good, productive citizens.”
- Noa 
#MarchForOurLives https://t.co/jL23Vbfhjz",977597912082452480,Brown,153,,Brown_campaign,40
2018-03-24 17:01:18,"Today, we stand with Nancy, and with all the students and educators who should feel safe in their own schools.
#MarchForOurLives https://t.co/QYPFSlgkfy",977591195764445184,Brown,89,,Brown_campaign,29
