candidate,tweets,education_tweets,college_affordability_tweets
Biden,1512,85,20
Bloomberg,3228,99,15
Booker,7480,205,14
Brown,6432,316,46
Bullock,3687,475,14
Buttigieg,3242,162,1
Castro,4130,154,5
Clinton,6460,142,51
Cuomo,3971,278,83
Delaney,6488,267,50
Gabbard,6466,285,35
Gillibrand,3269,144,15
Harris,5841,341,78
Hickenlooper,3961,212,5
Inslee,5350,480,17
Klobuchar,3468,165,5
Landrieu,3227,85,3
Merkley,5502,207,48
Ojeda,3205,152,0
ORourke,6440,413,23
Sanders,6412,304,118
Steyer,3206,74,11
Swalwell,6430,330,104
Warren,6096,409,157
Yang,3187,136,32
