candidate,tweets,education_tweets,safety_tweets
Biden,1512,86,5
Bloomberg,3228,101,7
Booker,7480,210,25
Brown,6432,317,34
Bullock,3687,476,11
Buttigieg,3242,163,21
Castro,4130,159,20
Clinton,6460,142,9
Cuomo,3971,285,60
Delaney,6488,270,32
Gabbard,6466,287,29
Gillibrand,3269,144,29
Harris,5841,348,97
Hickenlooper,3961,212,8
Inslee,5350,481,33
Klobuchar,3468,166,20
Landrieu,3227,85,7
Merkley,5502,207,32
Ojeda,3205,152,9
ORourke,6440,414,21
Sanders,6412,305,14
Steyer,3206,78,13
Swalwell,6430,338,57
Warren,6096,410,33
Yang,3187,137,8
