"Search Term","Username","Location","Verified User?","Tweet ID","Tweet Time","Tweet Text","Tweet Place","Retweet Count","Favorite Count"
"#CCChat","BootScootinGMaw","Lebanon, PA","False","1084440207234088960","2019-01-13 13:21:07","@FarmChicJodi @BradPeel3 @IHboog @hkerkhofs @mandrews64 @HaesenAnita @AtlantaAgCurt @HedrickJessica @mommahenof3 @SammiWangsness @thebirdfarmer @birdfarmerswife @oldfarmgirlKA @DozaEric @scoopermomma @GardnerKatyg8 @kelcey1992 @TracyLCotton @MinksEric Good morning Jodi and all of #ccchat","","0","2"
"#CCChat","Brad Peel🇺🇸🚜","Far North suburbs of Boody Il.","False","1083689537195425792","2019-01-11 11:38:14","@FarmChicJodi @IHboog @thebirdfarmer @birdfarmerswife @AtlantaAgCurt @HedrickJessica @hkerkhofs @HaesenAnita @mandrews64 @SammiWangsness @MinksEric @DozaEric @GardnerKatyg8 @scoopermomma @BootscootinGMaw @oldfarmgirlKA @kelcey1992 @Clint__Taylor @TracyLCotton Morning Jodi and other victims of authority!☕☕☕
Heading for the morning "" brain flossing "" at the Truck Patch.
#ccchat","Place(id='f54a2170ff4b15f7', country='United States', full_name='Illinois, USA', contained_within=[], country_code='US', place_type='admin', attributes={}, _api=<tweepy.api.API object at 0x7fdfbe8a0978>, name='Illinois', url='https://api.twitter.com/1.1/geo/id/f54a2170ff4b15f7.json', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fdfbe8a0978>, type='Polygon', coordinates=[[[-91.51308, 36.970298], [-87.019935, 36.970298], [-87.019935, 42.508303], [-91.51308, 42.508303]]]))","0","8"
"#CCChat","Curt Ashenbremer","","False","1083687698651586561","2019-01-11 11:30:55","@FarmChicJodi @BradPeel3 @IHboog @thebirdfarmer @birdfarmerswife @HedrickJessica @hkerkhofs @HaesenAnita @mandrews64 @SammiWangsness @MinksEric @DozaEric @GardnerKatyg8 @scoopermomma @BootscootinGMaw @oldfarmgirlKA @kelcey1992 @Clint__Taylor @TracyLCotton Good morning Jodi and everybody at #ccchat.  Tgif indeed.","","0","4"
"#CCChat","BootScootinGMaw","Lebanon, PA","False","1082961711886487553","2019-01-09 11:26:07","@IHboog @thekbaldwin @BradPeel3 @AtlantaAgCurt @Clint__Taylor @TracyLCotton @HaesenAnita @birdfarmerswife @thebirdfarmer @HedrickJessica @FarmChicJodi @scoopermomma @SammiWangsness @GardnerKatyg8 @DozaEric @hkerkhofs @oldfarmgirlKA @RedThreadFarms Good morning Chad and all of #ccchat Have a gr8 day!","","0","4"
"#CCChat","Curt Ashenbremer","","False","1082949740139110400","2019-01-09 10:38:32","@IHboog @BootscootinGMaw @thekbaldwin @BradPeel3 @Clint__Taylor @TracyLCotton @HaesenAnita @birdfarmerswife @thebirdfarmer @HedrickJessica @FarmChicJodi @scoopermomma @SammiWangsness @GardnerKatyg8 @DozaEric @hkerkhofs @oldfarmgirlKA @RedThreadFarms Morning Chad, what's the game plan today?  #ccchat","","0","2"
"#CCChat","Brad Peel🇺🇸🚜","Far North suburbs of Boody Il.","False","1082947377873457155","2019-01-09 10:29:09","@IHboog @BootscootinGMaw @thekbaldwin @AtlantaAgCurt @Clint__Taylor @TracyLCotton @HaesenAnita @birdfarmerswife @thebirdfarmer @HedrickJessica @FarmChicJodi @scoopermomma @SammiWangsness @GardnerKatyg8 @DozaEric @hkerkhofs @oldfarmgirlKA @RedThreadFarms Morning Chad and the gang! ☕☕☕
Have the day off your choice.
#ccchat","Place(id='f54a2170ff4b15f7', country='United States', full_name='Illinois, USA', contained_within=[], country_code='US', place_type='admin', attributes={}, _api=<tweepy.api.API object at 0x7fdfbe8a0978>, name='Illinois', url='https://api.twitter.com/1.1/geo/id/f54a2170ff4b15f7.json', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fdfbe8a0978>, type='Polygon', coordinates=[[[-91.51308, 36.970298], [-87.019935, 36.970298], [-87.019935, 42.508303], [-91.51308, 42.508303]]]))","0","5"
"#CCChat","Celeste Harte","","False","1082913791828987904","2019-01-09 08:15:42","RT @_KingKaterina: Anyone up for a new once a month, at the end of the month, hourly game #CCChat ... in preparation for the next months ro…","","1","0"
"#CCChat","Katerina King","California, USA","False","1082855412217438208","2019-01-09 04:23:43","Anyone up for a new once a month, at the end of the month, hourly game #CCChat ... in preparation for the next months round of #CharacterChaos","","1","5"
"#CCChat","Curt Ashenbremer","","False","1082598657659154433","2019-01-08 11:23:28","@FarmChicJodi @IHboog @BradPeel3 @HedrickJessica @mandrews64 @thebirdfarmer @birdfarmerswife @SammiWangsness @BootscootinGMaw @DozaEric @GardnerKatyg8 @scoopermomma @TracyLCotton @oldfarmgirlKA @kelcey1992 @hkerkhofs @HaesenAnita @Clint__Taylor Good morning Jodi and all of #ccchat.  Happy Tuesday, it is Tuesday right?","","0","4"
"#CCChat","Brad Peel🇺🇸🚜","Far North suburbs of Boody Il.","False","1082598340775301120","2019-01-08 11:22:12","@FarmChicJodi @IHboog @HedrickJessica @AtlantaAgCurt @mandrews64 @thebirdfarmer @birdfarmerswife @SammiWangsness @BootscootinGMaw @DozaEric @GardnerKatyg8 @scoopermomma @TracyLCotton @oldfarmgirlKA @kelcey1992 @hkerkhofs @HaesenAnita @Clint__Taylor Morning Jodi and everyone!☕☕☕
The weather has no soul, it doesn't care.
#ccchat","Place(id='f54a2170ff4b15f7', country='United States', full_name='Illinois, USA', contained_within=[], country_code='US', place_type='admin', attributes={}, _api=<tweepy.api.API object at 0x7fdfbe8a0978>, name='Illinois', url='https://api.twitter.com/1.1/geo/id/f54a2170ff4b15f7.json', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fdfbe8a0978>, type='Polygon', coordinates=[[[-91.51308, 36.970298], [-87.019935, 36.970298], [-87.019935, 42.508303], [-91.51308, 42.508303]]]))","0","4"
"#CCChat","Curt Ashenbremer","","False","1082243339427217408","2019-01-07 11:51:33","@FarmChicJodi @BradPeel3 @IHboog @mandrews64 @thebirdfarmer @birdfarmerswife @HedrickJessica @hkerkhofs @HaesenAnita @BootscootinGMaw @oldfarmgirlKA @GardnerKatyg8 @scoopermomma @Clint__Taylor @SammiWangsness @DozaEric @MinksEric @mommahenof3 @kelcey1992 Morning Jodi and all of #ccchat.  Windy as heck this AM and rain here...yay...","","0","2"
"#CCChat","Brad Peel🇺🇸🚜","Far North suburbs of Boody Il.","False","1082234543376080896","2019-01-07 11:16:36","@FarmChicJodi @IHboog @mandrews64 @thebirdfarmer @birdfarmerswife @AtlantaAgCurt @HedrickJessica @hkerkhofs @HaesenAnita @BootscootinGMaw @oldfarmgirlKA @GardnerKatyg8 @scoopermomma @Clint__Taylor @SammiWangsness @DozaEric @MinksEric @mommahenof3 @kelcey1992 Morning Jodi and everyone among the living! ☕☕☕
The truck patch is calling....
#ccchat","Place(id='f54a2170ff4b15f7', country='United States', full_name='Illinois, USA', contained_within=[], country_code='US', place_type='admin', attributes={}, _api=<tweepy.api.API object at 0x7fdfbe8a0978>, name='Illinois', url='https://api.twitter.com/1.1/geo/id/f54a2170ff4b15f7.json', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fdfbe8a0978>, type='Polygon', coordinates=[[[-91.51308, 36.970298], [-87.019935, 36.970298], [-87.019935, 42.508303], [-91.51308, 42.508303]]]))","0","6"
"#CCChat","TheDailyEDU","","False","1082069460738064385","2019-01-07 00:20:37","RT @Barfstew: Days Of The Week - Vinyl Stickers For Organization Bins - https://t.co/bZ8wBr5Zm5 … … … … … Ideal For Teachers #education #ed…","","2","0"
"#CCChat","James Clark","unite","False","1082061990334529536","2019-01-06 23:50:56","RT @Barfstew: Days Of The Week - Vinyl Stickers For Organization Bins - https://t.co/bZ8wBr5Zm5 … … … … … Ideal For Teachers #education #ed…","","2","0"
"#CCChat","BIT-STEW","Atlanta","False","1082061718493319173","2019-01-06 23:49:52","Days Of The Week - Vinyl Stickers For Organization Bins - https://t.co/bZ8wBr5Zm5 … … … … … Ideal For Teachers #education #edutwitter #teacherlife #ccchat #edchat #k12 #classroom #Classrooms #edu @WeAreTeachers Pre-k Teachers ETSY Shop - 8.50/LARGE LETTERS (shown)/6.50","","2","1"
"#CCChat","TheDailyEDU","","False","1081661773550366720","2019-01-05 21:20:37","RT @Barfstew: Days Of The Week - Vinyl Stickers For Organization Bins - https://t.co/bZ8wBr5Zm5 … … … … Ideal For Teachers #education #edut…","","2","0"
