"Username","Location","Verified User?","Tweet ID","Tweet Time","Tweet Text","Tweet Place","Retweet Count","Favorite Count"
"Charles Fischer","Denver, CO","False","1084491427105492992","2019-01-13 16:44:39","Want to know how to help your students with thinking skills, asking questions and close reading? #SocraticSeminar is the answer! Get the new definitive guide: https://t.co/Wrbaax42dr  #CCSS #edadmin #academicdiscourse #EngChat #instructionalcoach","","0","0"
"jameng","somewhere🍀","False","1084445522415382529","2019-01-13 13:42:15","#CCSS cute na cute sa sarili HAHAHAHAH https://t.co/ozFpTWqzFD","","0","0"
"Christena Twillie","Global","False","1084365360680316928","2019-01-13 08:23:43","RT @Natyrodriguezcr: Lo bueno es que ellas siempre están para hacerme reír🤣, mis chicas❤, mis hermanas y mi mami hoy fueron a donar sangre…","","4","0"
"Corn!","A corn field, somewhere in NZ","False","1084331865341779968","2019-01-13 06:10:37","Probably going to be skipping Corn's CarSoccer Summer tonight sorry folks. I am not handling the heat and I need to get out of the kitchen. Or more precisely my room. Will definitely be returning tomorrow with hopefully less salt and less heat. #CCSS","","0","1"
"Toni D McDaniel","","False","1084253363724865539","2019-01-13 00:58:41","RT @DenningSavannah: Wish we'd get a better handle on #NGSS &amp; agree on best practices to prepare young scientists. #science is something we…","","1","0"
"Savannah Denning, Ed.D.","","False","1084169062488379394","2019-01-12 19:23:42","Wish we'd get a better handle on #NGSS &amp; agree on best practices to prepare young scientists. #science is something we struggle with in #elemschool 

Let's use what we know about @VisibleLearning #deeperlearning to improve #curriculum 

#ngsschat #scichat #k12 #CCSS #CCSSchat https://t.co/m5Q9Rkferl","","1","2"
"Nicole Andrews","Central, LA","False","1084134048585445377","2019-01-12 17:04:34","CHS JV Soccer Team  waiting on game 2!  Rain, rain go away! #CCSSLeads #chssoccer #CCSS https://t.co/RmQpzM5xMy","","0","0"
"Pickled Latte","","False","1084115177891614722","2019-01-12 15:49:34","RT @achievethecore: Based on the #CCSS and years of practice, the Vermont Writing Collaborative has created a set of checklists to help tea…","","22","0"
"Luis Evelio Henao","Sonson, Antioquia, Colombia","False","1084047833408385024","2019-01-12 11:21:58","RT @Natyrodriguezcr: Lo bueno es que ellas siempre están para hacerme reír🤣, mis chicas❤, mis hermanas y mi mami hoy fueron a donar sangre…","","4","0"
"Corn!","A corn field, somewhere in NZ","False","1083918837911699461","2019-01-12 02:49:23","Looking at going live at the top of the hour. Corn's CarSoccer Summer, will it continue through the long hot days? I mean that's the plan, why are you doubting me. Come join me over on https://t.co/HeiCpCUH3O
#CCSS #RocketLeague https://t.co/Ayf47KXFJC","","0","0"
"Charles Fischer","Denver, CO","False","1083739904671023104","2019-01-11 14:58:22","Want to know how to help your students with thinking skills, asking questions and close reading? #SocraticSeminar is the answer! Get the new definitive guide: https://t.co/Wrbaax42dr  #CCSS #edadmin #listening #EngChat #instructionalcoach","","0","1"
