"Username","Location","Verified User?","Tweet ID","Tweet Time","Tweet Text","Tweet Place","Retweet Count","Favorite Count"
"Lead From The Back™","Contact: askftq@gmail.com","False","1084527942326255617","2019-01-13 19:09:45","RT @chrisdaviscng: notes for the future of work…
* Iron Man not Terminator
* the learning quest never stops
* make it yourself
* social ada…","","1","0"
"Chris Davis","Bogota","False","1084527666789826561","2019-01-13 19:08:39","notes for the future of work…
* Iron Man not Terminator
* the learning quest never stops
* make it yourself
* social adaptability matters
* the future is malleable 

https://t.co/2QAUeV383b #leadership #leadupchat #edchat #makerEd #k12 #edpolicy https://t.co/ITwOt4ZhUX","","1","0"
"Mrs. G & Mrs. H","Virginia, USA","False","1084523818566201344","2019-01-13 18:53:22","RT @ProvenPrincipal: Check out what went down Saturday at our EL Parent Camp Event! Thanks again to everyone for supporting this event! #Po…","","4","0"
"Birdhouse Learning Labs","Wisconsin, USA","False","1084510897203306496","2019-01-13 18:02:01","We are interested in tracking the number of #highered institutions (or programs) that do not use letter grades. Any suggestions on how to gather and monitor these data? #edpolicy #analytics #data @usedgov @ednces","","0","2"
"Denise HuebnerPWCS","","False","1084491665036009473","2019-01-13 16:45:36","RT @ProvenPrincipal: Check out what went down Saturday at our EL Parent Camp Event! Thanks again to everyone for supporting this event! #Po…","","4","0"
"Gina Petrie","WA and Cárdenas, Nicaragua","False","1084488577134837763","2019-01-13 16:33:20","RT @TESOL_Assn: Registration is now open for the 2019 #TESOL Advocacy &amp; Policy Summit! Register now to save! https://t.co/mZcPrIQAik #edpol…","","5","0"
"Deborah Ellis","Northern VA","False","1084464108026691584","2019-01-13 14:56:06","RT @ProvenPrincipal: Check out what went down Saturday at our EL Parent Camp Event! Thanks again to everyone for supporting this event! #Po…","","4","0"
"Lynn Colón","Northern VA","False","1084463021785784320","2019-01-13 14:51:47","RT @ProvenPrincipal: Check out what went down Saturday at our EL Parent Camp Event! Thanks again to everyone for supporting this event! #Po…","","4","0"
"Nathaniel Provencio","Montclair, VA","False","1084447416445751298","2019-01-13 13:49:46","Check out what went down Saturday at our EL Parent Camp Event! Thanks again to everyone for supporting this event! #PositivelyPWCS #DaleCity 
#ELL #advocacy4ELs #TESOL #edpolicy #EducacionEspecial #EngageChat https://t.co/EEUpbrmGmA","","4","12"
"Bill Ferriter","Raleigh NC","False","1084418027662258177","2019-01-13 11:52:59","@Phillip_Cowell @hatcherelli One thing is for sure, Phillip:  I'm tired of walking moral tightropes -- balancing practices that I know are unproductive for kids with simplistic requirements and bad policies reinforced by both universities and #edpolicy makers.","","0","0"
