"Search Term","Username","Location","Verified User?","Tweet ID","Tweet Time","Tweet Text","Tweet Place","Retweet Count","Favorite Count"
"#K12","Kidmade","","False","1084591222528692224","2019-01-13 23:21:12","RT @ShakeUpLearning: How to Plan an AWESOME Book Study! https://t.co/wlFEW4QUTU
#principalsinaction #edtech #edchat #gsuiteedu #k12 #gttrib…","","6","0"
"#K12","TheDailyEDU","","False","1084591114928177153","2019-01-13 23:20:47","RT @AUG_CollegeofEd: We're excited about #ISL2019! Join us March 2 for the Impacting Student Learning Conference, the Southeast's premier #…","","1","0"
"#K12","TheDailyEDU","","False","1084591085022838788","2019-01-13 23:20:40","RT @JulieSHasson: What does inspirational #teacher, Kim Urbaniak, say about impact? https://t.co/ogqbu78hpM #ChalkandChances #education #k1…","","2","0"
"#K12","TheDailyEDU","","False","1084591075187220492","2019-01-13 23:20:37","RT @aimhigh101tips: URGENT #children grades 2-12 need wisdom too many breaking rules https://t.co/fdQIX5gInz  #learning #wisdom #TEACHers #…","","1","0"
"#K12","Sommer Riolo 📚🖥️🍎🗝️","","False","1084591008476733442","2019-01-13 23:20:21","RT @ShakeUpLearning: How to Plan an AWESOME Book Study! https://t.co/wlFEW4QUTU
#principalsinaction #edtech #edchat #gsuiteedu #k12 #gttrib…","","6","0"
"#K12","ณัฐวิญญ์","","False","1084590837533556736","2019-01-13 23:19:41","RT @finleyt: NEW! Brain Blasts Volume II is out! 254 strategies and activities at your fingertips!💥💥💥  https://t.co/w08cJDc9b0

#edchat #el…","","3","0"
"#K12","Ann Olivia Hlabangana-Clay","Delaware, USA","False","1084590714808344576","2019-01-13 23:19:11","RT @SIOPModel: Are you making 2019 professional learning plans? Check out our SIOP lineup! 
Visit https://t.co/OTyQLAcaS3 to secure your sp…","","12","0"
"#K12","Altovese Spivey","","False","1084590581916016640","2019-01-13 23:18:40","RT @Alex_Corbitt: 9 Alternative Professional Development Structures 👥🔬👀💡🏆 (by @cultofpedagogy) #edchat #education #edtech #elearning #k12 h…","","26","0"
"#K12","Dr. Stephen Peters","International","False","1084590579856617473","2019-01-13 23:18:39","RT @EdDiveK12: New leadership models, and accountability, among others, will dominate the industry in the coming year. https://t.co/Oafna1j…","","2","0"
"#K12","Dynamix","Columbus, OH","False","1084590169787904002","2019-01-13 23:17:01","How to beat the 'back to work' blues Strategies to help you start the week in the best frame of mind...ready to take on the world! Improve your work life and be happier 😊    https://t.co/1Rj5Q86nlE #edchat #TEACHers #edutwitter #OhioEd #k12 #EDU #EDUcators #Reclaimyourlife https://t.co/biIG3nyyod","","0","0"
