"Accountabaloney","","False","1084511859196260352","2019-01-13 18:05:51","ICYMI, after 20 years of single party rule in #Florida, #Jebucation IS the #StatusQuo 
#schoolchoice = #privatization
School Choice advocates who deny that are either complicit or naive.
#RespectOurPublicSchoolChoice Retain #localcontrol of #publiceducation","","0","0"
"Lorene","","False","1084507571434733569","2019-01-13 17:48:48","RT @DVSCParents: Old Redford Academy Parents supporting or #MYCHILDMATTERS campaign #mileg #CharterSchools #SchoolChoice https://t.co/EHuhf…","","1","0"
"Manny Diaz Jr.","Hialeah, Florida","False","1084498514787295233","2019-01-13 17:12:49","Honored to address a great crowd at the Teach FL Breakfast today, #SchoolChoice &amp; security with so many community leaders and Legislative colleagues #FortheKids https://t.co/q4DX5VxChM","","0","10"
"sebas","","False","1084494184877379589","2019-01-13 16:55:37","RT @Hamletgarcia17: We can choose our pharmacies,  doctors ,grocery stores, yet our kids can’t choose a safe, better quality schools.   Tra…","","50","0"
"mica","","False","1084482307740913665","2019-01-13 16:08:25","RT @Hamletgarcia17: We can choose our pharmacies,  doctors ,grocery stores, yet our kids can’t choose a safe, better quality schools.   Tra…","","50","0"
"Question Sources","Everywhere","False","1084477871601664005","2019-01-13 15:50:47","RT @IWF: California’s AB2601 forces #charterschools to teach the same sex-education curriculum as the rest of the state, taking time away f…","","8","0"
"Fe Hunt","Toledo","False","1084476903497629696","2019-01-13 15:46:57","RT @schoolchoicewk: Every family has the right to homeschool their children. Homeschooling is the original #schoolchoice option, and homesc…","","20","0"
"Susan","Illinois, USA","False","1084476875525836800","2019-01-13 15:46:50","RT @IWF: California’s AB2601 forces #charterschools to teach the same sex-education curriculum as the rest of the state, taking time away f…","","8","0"
"School Choice Week","","True","1084476683892281344","2019-01-13 15:46:04","@SpringHillHS honors diversity and friendship through a pen pal project! 
Spring Hill High School will also celebrate diversity in educational opportunity during National School Choice Week 2019 #schoolchoice #magnetschools #sced 
https://t.co/hokRcE8SBq","","0","0"
"Pachi","Florida, USA","False","1084474700020019202","2019-01-13 15:38:11","RT @clarebrit: What is school choice? #schoolchoice is freedom, it's access to opportunity, it's equitable, it's moral, it's cost effective…","","6","0"
"lu","","False","1084471762446962688","2019-01-13 15:26:31","RT @Hamletgarcia17: We can choose our pharmacies,  doctors ,grocery stores, yet our kids can’t choose a safe, better quality schools.   Tra…","","50","0"
"Gnome","Belarus ","False","1084469764330786816","2019-01-13 15:18:34","RT @Hamletgarcia17: We can choose our pharmacies,  doctors ,grocery stores, yet our kids can’t choose a safe, better quality schools.   Tra…","","50","0"
"RoyalAcademyAustin","","False","1084465185044217856","2019-01-13 15:00:23","RT @schoolchoicewk: There will be 4,927 events and activities in Texas during National School Choice Week 2019! 
School Choice Week is an e…","","3","0"
"Ms.B  🧘🏽‍♀️ 🌱","University, FL","False","1084458971648454657","2019-01-13 14:35:41","RT @Hamletgarcia17: We can choose our pharmacies,  doctors ,grocery stores, yet our kids can’t choose a safe, better quality schools.   Tra…","","50","0"
"RaiseOurGrade","Arkansas","False","1084458851095715840","2019-01-13 14:35:13","RT @P_Diddy_Wolf: .⁦@ua_edreform⁩ alum ⁦@annaegalite⁩ presents results from her sophisticated analysis that Indiana #SchoolChoice program c…","","2","0"
"RaiseOurGrade","Arkansas","False","1084458792677502976","2019-01-13 14:34:59","RT @schoolchoicewk: Traditional public schools are an important #schoolchoice option for families. Some states have different programs that…","","9","0"
"sally loves louis","","False","1084457188523892738","2019-01-13 14:28:36","RT @Hamletgarcia17: We can choose our pharmacies,  doctors ,grocery stores, yet our kids can’t choose a safe, better quality schools.   Tra…","","50","0"
"School Choice Nebraska","Nebraska, USA","False","1084454819824316417","2019-01-13 14:19:11","Check out our #SchoolChoice podcast! This episode is about the differences between top-down and bottom-up structures in public education. https://t.co/mE5rDDv80M","","0","0"
"petar petrov","","False","1084444106795954176","2019-01-13 13:36:37","RT @Hamletgarcia17: We can choose our pharmacies,  doctors ,grocery stores, yet our kids can’t choose a safe, better quality schools.   Tra…","","50","0"
"Elevare London","","False","1084443707552813056","2019-01-13 13:35:02","#edchat #HackLearning #elearning #11plustips #acceleratedlearning #prepschool #highered #parentpower #putkidsfirst #schoolchoice #parentalchoice #elevenplus https://t.co/iXGi2yVIwi","","0","0"
"Tim Tool Man","Texas, USA/Arkansas ","False","1084440694494818305","2019-01-13 13:23:04","RT @IWF: California’s AB2601 forces #charterschools to teach the same sex-education curriculum as the rest of the state, taking time away f…","","8","0"
"Julie Garner","","False","1084437850467102724","2019-01-13 13:11:46","RT @IWF: California’s AB2601 forces #charterschools to teach the same sex-education curriculum as the rest of the state, taking time away f…","","8","0"
"Don F. R.Ph. MBA","Iowa","False","1084436806047809538","2019-01-13 13:07:37","RT @IWF: California’s AB2601 forces #charterschools to teach the same sex-education curriculum as the rest of the state, taking time away f…","","8","0"
"Truth=Justice","","False","1084436403734355969","2019-01-13 13:06:01","RT @IWF: California’s AB2601 forces #charterschools to teach the same sex-education curriculum as the rest of the state, taking time away f…","","8","0"
"michael deberry","","False","1084436270045028353","2019-01-13 13:05:29","RT @IWF: California’s AB2601 forces #charterschools to teach the same sex-education curriculum as the rest of the state, taking time away f…","","8","0"
"❤️","México","False","1084436199291473926","2019-01-13 13:05:12","RT @Hamletgarcia17: We can choose our pharmacies,  doctors ,grocery stores, yet our kids can’t choose a safe, better quality schools.   Tra…","","50","0"
"RoRo","","False","1084435900220620801","2019-01-13 13:04:01","RT @IWF: California’s AB2601 forces #charterschools to teach the same sex-education curriculum as the rest of the state, taking time away f…","","8","0"
"IWF","Washington, D.C.","True","1084435649502040064","2019-01-13 13:03:01","California’s AB2601 forces #charterschools to teach the same sex-education curriculum as the rest of the state, taking time away from basic subjects like mathematics and reading. #schoolchoice #IWed https://t.co/svarlqweGg","","8","18"
