"Search Term","Username","Location","Verified User?","Tweet ID","Tweet Time","Tweet Text","Tweet Place","Retweet Count","Favorite Count"
"#TITLEIX","Abbie/celeb news","USA/ECSU","False","1084587079588331533","2019-01-13 23:04:45","RT @endrapeoncampus: ‼️We only have until 1/28 to advocate for survivors' #TitleIX rights. We come together collectively, creatively, and w…","","1","0"
"#TITLEIX","End Rape on Campus","Washington, DC","True","1084587051922669570","2019-01-13 23:04:38","‼️We only have until 1/28 to advocate for survivors' #TitleIX rights. We come together collectively, creatively, and with commitment. 

Join our movement. Tell @BetsyDeVosED to take her #HandsOffIX at https://t.co/g7d8QaHGiQ.

Repost 📸: @morganbeal on @Instagram https://t.co/VoVLfYRzt4","","1","1"
"#TITLEIX","Margot Carmichael Lester","carrboro, nc","False","1084571647460470784","2019-01-13 22:03:25","Amazing routine. And I love that @katelyn_ohashi’s  teammates are jamming along with her.  #teamsports #TitleIX https://t.co/HXbaoeSryr","Place(country='United States', url='https://api.twitter.com/1.1/geo/id/c3a90b8ce84f216e.json', full_name='Carrboro, NC', place_type='city', id='c3a90b8ce84f216e', attributes={}, country_code='US', name='Carrboro', contained_within=[], _api=<tweepy.api.API object at 0x7f782c30d908>, bounding_box=BoundingBox(type='Polygon', coordinates=[[[-79.109676, 35.889723], [-79.0639052, 35.889723], [-79.0639052, 35.9646922], [-79.109676, 35.9646922]]], _api=<tweepy.api.API object at 0x7f782c30d908>))","0","0"
"#TITLEIX","Jenny Cyphers","Beaverton, OR","False","1084567256330231808","2019-01-13 21:45:58","RT @emily_zinos: ""Universities had limits on the number of female professors they would hire. Salaries for female faculty members lagged be…","","9","0"
"#TITLEIX","Pitt Grad Union","Pittsburgh, PA","False","1084567010934018048","2019-01-13 21:45:00","Help stop detrimental changes to #TitleIX that will allow for specific instances of harassment, assault, &amp; discrimination to be ignored or unaddressed by submitting a comment through the Federal eRulemaking Portal at https://t.co/55B873ofmO. https://t.co/s6xrjMKPFQ","","0","0"
"#TITLEIX","Kabrina Chang","Boston, MA","False","1084563334274473987","2019-01-13 21:30:23","#titleix You may not know her name. But Bernice Sandler, 'Godmother of Title IX,' changed women's rights forever - CNN https://t.co/7MkjjzDDX7","","0","0"
"#TITLEIX","amouratt","","False","1084551718749327361","2019-01-13 20:44:14","You may not know her name. But Bernice Sandler, 'Godmother of Title IX,' changed women's rights forever. #BerniceSandler #TitleIX #Nixon #womenineducation  https://t.co/T9KnloSlTX","","0","0"
"#TITLEIX","Daniela Kraiem","Washington, DC","False","1084545801500659714","2019-01-13 20:20:43","Comments are due to the #DeptEd proposed changes to #TitleIX at the end of this month. I can think of no better way to honor #BerniceSandler, whose activism pushed the law from pipe dream to reality #sexism #highered 
https://t.co/sSuifrIEag","","0","1"
"#TITLEIX","Trish Black Supports Meghan Murphy","United Kingdom","False","1084544724051128320","2019-01-13 20:16:26","RT @emily_zinos: ""Universities had limits on the number of female professors they would hire. Salaries for female faculty members lagged be…","","9","0"
"#TITLEIX","StarWarsRepresentsMe!","Cloud City","False","1084543849614270465","2019-01-13 20:12:58","RT @SWRepMe: Check my new video discussing #StarWarsEpisodeIX title I hope you enjoy! https://t.co/E5UKiaEKJ7 #StarWars
#swrepmatters #Forc…","","1","0"
"#TITLEIX","JacquelineCane,JDMBA","Here, There & Everywhere . . .","False","1084542065390821376","2019-01-13 20:05:52","RT @USOWomen: “We have only taken the very first steps of what will be a very long journey.”

The journey is far, far from over. Thank you…","","6","0"
