"Search Term","Username","Location","Verified User?","Tweet ID","Tweet Time","Tweet Text","Tweet Place","Retweet Count","Favorite Count"
"#devos","Ohio BATs","Ohio","False","1084546056908668930","2019-01-13 20:21:44","RT @BadassTeachersA: 35,000 gun violence deaths a year and #DeVos has wrong answers.  Kids in school shouldn't have to live in fear of shoo…","","7","0"
"#devos","Denise Spicer","Vancouver, Washington","False","1084533637956030464","2019-01-13 19:32:23","RT @TonyKolenc: What will be the long-term impact of #Trump and #DeVos on homeschooling? Read my free online column in @PracHomeschool Maga…","","0","0"
"#devos","Bill Klingbeil","Uniontown, Ohio","False","1084509350457237506","2019-01-13 17:55:53","DeVos is pure evil! Charter schools just steal YOUR tax dollars for shitty schoolsrun by for profit management companies!  In my community charter schools stole $200,000 per year from a tiny school district!  They need to be stopped!
#charterschools #devos #CorruptGOP https://t.co/SF8SbkSm1z","","0","0"
"#devos","S. Matthis 🌹🏴","Bruges, Belgium","False","1084505172833959937","2019-01-13 17:39:16","RT @BadassTeachersA: 35,000 gun violence deaths a year and #DeVos has wrong answers.  Kids in school shouldn't have to live in fear of shoo…","","7","0"
"#devos","Judy Strollo","NJ","False","1084503551018188802","2019-01-13 17:32:50","RT @BadassTeachersA: 35,000 gun violence deaths a year and #DeVos has wrong answers.  Kids in school shouldn't have to live in fear of shoo…","","7","0"
"#devos","Lovetogive2","","False","1084500962755076096","2019-01-13 17:22:33","RT @lovetogive2: @MargeryAPW @shreec @Parent_Partners ""Dick #DeVos, hard-rt face social &amp; economic conservative who...would have been consi…","","6","0"
"#devos","Lovetogive2","","False","1084500949337485312","2019-01-13 17:22:30","RT @lovetogive2: @MargeryAPW @shreec @Parent_Partners LOL Gotta love the title: ""You don’t know Dick""  https://t.co/weS9pBfYsm #Devos #GOPC…","","6","0"
"#devos","Lovetogive2","","False","1084500939614998529","2019-01-13 17:22:27","RT @lovetogive2: @MargeryAPW @shreec @Parent_Partners ""FBI investigation continues into 'odd' computer link between Russian bank &amp; Trump Or…","","36","0"
"#devos","Lovetogive2","","False","1084500888503255041","2019-01-13 17:22:15","RT @lovetogive2: @MargeryAPW @shreec @Parent_Partners #Connell #Donatelli Inc worked on Dick #DeVos for Governor campaign: https://t.co/4mf…","","45","0"
"#devos","polchinello  🌱","Evanston, IL","False","1084498655271374849","2019-01-13 17:13:23","RT @BadassTeachersA: 35,000 gun violence deaths a year and #DeVos has wrong answers.  Kids in school shouldn't have to live in fear of shoo…","","7","0"
"#devos","Union Strong ✊","Peoria Heights, IL","False","1084497581265375233","2019-01-13 17:09:07","RT @BadassTeachersA: 35,000 gun violence deaths a year and #DeVos has wrong answers.  Kids in school shouldn't have to live in fear of shoo…","","7","0"
"#devos","Misanthropic Hsewife","","False","1084485781220151297","2019-01-13 16:22:13","RT @lancegould: Dear @realDonaldTrump:
When you go down (and you will) please throw all your corrupt minions, offspring &amp; co-conspirators u…","","3","0"
"#devos","RedYoda🌎","Fairfax City, VA","False","1084481500802891776","2019-01-13 16:05:13","Need more evidence #Trump #DeVos and the rest of the wealthy #GOP cares nothing about Americans and can't relate to people living #Paycheck2Paycheck? 
https://t.co/ixIpAZSNAn","","0","0"
"#devos","lizn513","","False","1084456211653840896","2019-01-13 14:24:43","RT @lancegould: Dear @realDonaldTrump:
When you go down (and you will) please throw all your corrupt minions, offspring &amp; co-conspirators u…","","3","0"
"#devos","Antony Barone Kolenc","Jacksonville, FL","False","1084452731056734213","2019-01-13 14:10:53","What will be the long-term impact of #Trump and #DeVos on homeschooling? Read my free online column in @PracHomeschool Magazine https://t.co/aIru5filSz https://t.co/W006setvfz","","0","0"
"#devos","rabidwvufan🌊","Virginia ","False","1084451344235278336","2019-01-13 14:05:23","RT @lancegould: Dear @realDonaldTrump:
When you go down (and you will) please throw all your corrupt minions, offspring &amp; co-conspirators u…","","3","0"
"#devos","lancegould","NYC","True","1084449696763002880","2019-01-13 13:58:50","Dear @realDonaldTrump:
When you go down (and you will) please throw all your corrupt minions, offspring &amp; co-conspirators under the bus. #page #flynn #donjr #ivanka #jared #kellyanne #sanders #sessions #manafort #gates #prince #rudy #devos #zinke #pruitt #chao #price #ross #pirro","","3","10"
"#devos","Jcott","","False","1084448963279966210","2019-01-13 13:55:55","RT @BadassTeachersA: 35,000 gun violence deaths a year and #DeVos has wrong answers.  Kids in school shouldn't have to live in fear of shoo…","","7","0"
"#devos","Jim Ferguson","Erehwon","False","1084447083380191234","2019-01-13 13:48:27","RT @BadassTeachersA: 35,000 gun violence deaths a year and #DeVos has wrong answers.  Kids in school shouldn't have to live in fear of shoo…","","7","0"
"#devos","Badass Teachers Asso","National","False","1084446718563823617","2019-01-13 13:47:00","35,000 gun violence deaths a year and #DeVos has wrong answers.  Kids in school shouldn't have to live in fear of shooters re @lauren_hoggs Take action: https://t.co/pwSeZjcsja More info: https://t.co/hU0iN5IfRz #TBATs @FLBATsA https://t.co/K0zxjM1QNy","","7","9"
"#devos","Conspiracy Talk Radio","","False","1084348932019417088","2019-01-13 07:18:26","RT @TrueBeliever271: U.S. #Education Secretary Betsy #DeVos signed a declaration that calls for #brainwashing #children to believe in U.N.…","","1","0"
"#devos","True Believer 271","","False","1084348556884926465","2019-01-13 07:16:56","U.S. #Education Secretary Betsy #DeVos signed a declaration that calls for #brainwashing #children to believe in U.N. backed 'Total Government'.
This suggests that the purpose of #schooling is to teach them to be obedient worker drones. #NWO #conspiracy

https://t.co/zPOQG0d0Xj","","1","0"
"#devos","jarohd","","False","1084285281216487425","2019-01-13 03:05:30","I met a carpenter that did the cabinets and doors for a #DeVos family house.

The price tag was $1.4mil

She spent $35k alone on a pair of doors...for a walk in closet","","0","0"
"#devos","WynAbbadusky","","False","1084279961861668865","2019-01-13 02:44:22","@Rascalisfine @lisamurkowski @senatemajldr Rachel, I 100% feel you. But It’s not just a Putin scenario. US billionaires #RobertRebekahMercer #DeVos etc pushed  big $$4Trump to get in.Until there is 100% undeniable tangible proof, no1 can make a move. Trump’s handlers have cloaked him well so far but it won’t last forever","","0","0"
"#devos","Mexican Mt Mission","","False","1084253748426403841","2019-01-13 01:00:12","We love Saturday devos! #devos #family https://t.co/Vhksayab0K","","0","0"
"#devos","A to the B","California, USA","False","1084155996182798340","2019-01-12 18:31:46","RT @ReaderAdrift: @benwikler @kathsstewart Everyone heard about HRC's emails but how many heard about the extremist education agenda drafte…","","6","0"
"#devos","Risky Liberal","","False","1084155923881435137","2019-01-12 18:31:29","RT @ReaderAdrift: @benwikler @kathsstewart Everyone heard about HRC's emails but how many heard about the extremist education agenda drafte…","","6","0"
"#devos","OUFENIX (D)","Oklahoma","False","1084151337162604545","2019-01-12 18:13:15","RT @ReaderAdrift: @benwikler @kathsstewart Everyone heard about HRC's emails but how many heard about the extremist education agenda drafte…","","6","0"
"#devos","❌FoundersHarvest 🌱❌","Deep Inside The Rabbit Hole🐇","False","1084130657423540224","2019-01-12 16:51:05",".@realDonaldTrump needs to get @BetsyDeVosED to retool grants, loans to focus on ""in demand"" courses, degrees not the degrees with few or no job prospects, our country must compete globally with China &amp; other countries, #DeVos has NOT done much to change our incompetent culture https://t.co/rg1FE5d4eh","","1","0"
"#devos","Ronald de Vos","Alphen aan den Rijn","False","1084117965241569280","2019-01-12 16:00:39","RT @Toob_Alers: Altijd bezig! #dancesing 
#deVos https://t.co/xPeRToQ312","","1","0"
"#devos","Toob Alers","Alphen aan den Rijn","False","1084113552674377730","2019-01-12 15:43:07","Altijd bezig! #dancesing 
#deVos https://t.co/xPeRToQ312","","1","2"
"#devos","Rhonda Lee","Kentucky ","False","1084084532561825794","2019-01-12 13:47:48","RT @ReaderAdrift: @benwikler @kathsstewart Everyone heard about HRC's emails but how many heard about the extremist education agenda drafte…","","6","0"
