"Search Term","Username","Location","Verified User?","Tweet ID","Tweet Time","Tweet Text","Tweet Place","Retweet Count","Favorite Count"
"#edadmin","Howard K. Kiyuna","Silicon Valley","False","1084580091303100416","2019-01-13 22:36:58","RT @MindShiftKQED: ""I changed so much in one year through this routine of #PDSA (plan, do, study, act) cycles, #improvementscience, and tal…","","33","0"
"#edadmin","Malice","","False","1084579570634747905","2019-01-13 22:34:54","RT @EdSurge: Are School Districts Starting to Understand the Scope of Security Threats? https://t.co/m0clVoejn4 #edchat #edadmin","","1","0"
"#edadmin","Ryan Brennan","Salmon Arm, British Columbia","False","1084579422752071680","2019-01-13 22:34:19","RT @MakeaFuture: In anticipation of upcoming openings, School District No. 83 (North Okanagan-Shuswap) is inviting applications for an upco…","","1","0"
"#edadmin","EdSurge","Silicon Valley","True","1084575065780506624","2019-01-13 22:17:00","Are School Districts Starting to Understand the Scope of Security Threats? https://t.co/m0clVoejn4 #edchat #edadmin","","1","1"
"#edadmin","Erin Lark","Vancouver, WA","False","1084572888949174272","2019-01-13 22:08:21","RT @MindShiftKQED: ""I changed so much in one year through this routine of #PDSA (plan, do, study, act) cycles, #improvementscience, and tal…","","33","0"
"#edadmin","Visi R. Tilak","Ashland, MA","False","1084569415495176196","2019-01-13 21:54:33","RT @MindShiftKQED: ""I changed so much in one year through this routine of #PDSA (plan, do, study, act) cycles, #improvementscience, and tal…","","33","0"
"#edadmin","Heather Lister","Hogwarts / Pennsylvania","False","1084569035981946881","2019-01-13 21:53:03","RT @MindShiftKQED: ""I changed so much in one year through this routine of #PDSA (plan, do, study, act) cycles, #improvementscience, and tal…","","33","0"
"#edadmin","Eric Saibel","California, USA","False","1084563903797899264","2019-01-13 21:32:39","RT @GSPlayDay: #Suptchat friends: your leadership is instrumental in helping bring #play back to kids’ lives. Join the Global School Play D…","","1","0"
"#edadmin","Zoila Valentino","","False","1084560396218855424","2019-01-13 21:18:43","RT @edchatter: The latest Wiredprofiles! https://t.co/8pLEvfq1s4 #edchat #edadmin","","1","0"
"#edadmin","Saransh Garg 🇮🇳","a thought away","False","1084559964738408451","2019-01-13 21:17:00","""Redbird Language Arts &amp; Writing is an adaptive solution to personalize instruction, accelerate learning, and empower every student to soar. The tool has been developed by Stanford University"" Know more! https://t.co/hDLlxMxSfp #edtech #education #resources #21stedchat #edadmin","","0","0"
"#edadmin","Make A Future","Vancouver, Canada","False","1084558212731424771","2019-01-13 21:10:02","In anticipation of upcoming openings, School District No. 83 (North Okanagan-Shuswap) is inviting applications for an upcoming Principal pool competition, https://t.co/AGqMQyCO8R #edadmin #cpchat #bced .@sdsd83schools https://t.co/YYkigexc6a","","1","0"
