"Search Term","Username","Location","Verified User?","Tweet ID","Tweet Time","Tweet Text","Tweet Place","Retweet Count","Favorite Count"
"#eddata","TheDailyEDU","","False","1084575976720400389","2019-01-13 22:20:37","RT @askMyClass: Sign up here: https://t.co/Zqispm7bKJ   

#EdTech #edchat #Alexa4Edu #Alexa #EdApp #EdData #EdTech #EduVC #ELearning #Alexa…","","1","0"
"#eddata","Stuart Palmer","Geelong, Victoria, Australia","False","1084575581256044544","2019-01-13 22:19:03","RT @Neil_Selwyn: School data used for immigration enforcement in the UK ... raises the issue of how 'informed consent' can ever be claimed…","","14","0"
"#eddata","Christopher Faulkner","Worcester, UK","False","1084575346165514240","2019-01-13 22:18:07","RT @Neil_Selwyn: School data used for immigration enforcement in the UK ... raises the issue of how 'informed consent' can ever be claimed…","","14","0"
"#eddata","Digital Education Research","Melbourne","False","1084575031756087296","2019-01-13 22:16:52","RT @Neil_Selwyn: School data used for immigration enforcement in the UK ... raises the issue of how 'informed consent' can ever be claimed…","","14","0"
"#eddata","Dorte Ruge","","False","1084573111352287232","2019-01-13 22:09:14","RT @Neil_Selwyn: School data used for immigration enforcement in the UK ... raises the issue of how 'informed consent' can ever be claimed…","","14","0"
"#eddata","askMyClass","California, USA","False","1084565509943803904","2019-01-13 21:39:02","Sign up here: https://t.co/Zqispm7bKJ   

#EdTech #edchat #Alexa4Edu #Alexa #EdApp #EdData #EdTech #EduVC #ELearning #Alexa #education #teachingntchat #21stedchat #k12 #engchat #digitalcitizenship #digital https://t.co/L8sb7pnH4q","","1","2"
"#eddata","Anne-Marie Chase","Melbourne, Victoria","False","1084562434256338945","2019-01-13 21:26:49","RT @Neil_Selwyn: School data used for immigration enforcement in the UK ... raises the issue of how 'informed consent' can ever be claimed…","","14","0"
"#eddata","Kyle Smith","Brisbane, Australia","False","1084561274770345984","2019-01-13 21:22:12","RT @Neil_Selwyn: School data used for immigration enforcement in the UK ... raises the issue of how 'informed consent' can ever be claimed…","","14","0"
"#eddata","Justin Cruickshank","Birmingham UK","False","1084559791400329216","2019-01-13 21:16:19","RT @Neil_Selwyn: School data used for immigration enforcement in the UK ... raises the issue of how 'informed consent' can ever be claimed…","","14","0"
"#eddata","Luci Pangrazio","Melbourne, Australia","False","1084559560268894208","2019-01-13 21:15:23","RT @Neil_Selwyn: School data used for immigration enforcement in the UK ... raises the issue of how 'informed consent' can ever be claimed…","","14","0"
