"Search Term","Username","Location","Verified User?","Tweet ID","Tweet Time","Tweet Text","Tweet Place","Retweet Count","Favorite Count"
"#edgap","Nat M","","False","1084148405192937473","2019-01-12 18:01:36","In this picture of the current government shutdown, I was forcibly struck by how insignificant the Education dot is! No wonder we graduate only 84% of high school students. Our priorities have to change! #edequity #edpolicy #edgap https://t.co/99e24bZWU0","","0","0"
"#edgap","robin l. brown@wres","Florida, USA","False","1084087449117179905","2019-01-12 13:59:23","RT @FLRealTalk: RT @AquilaEducation: A great initiative led by #Google helping to close the #EdGap. #EdTech is more easily available to stu…","","3","0"
"#edgap","Scalar Humanity","","False","1084082256480739328","2019-01-12 13:38:45","RT @FLRealTalk: RT @AquilaEducation: A great initiative led by #Google helping to close the #EdGap. #EdTech is more easily available to stu…","","3","0"
"#edgap","FL Real Talk Coalition","Florida, USA","False","1084082186280677376","2019-01-12 13:38:29","RT @AquilaEducation: A great initiative led by #Google helping to close the #EdGap. #EdTech is more easily available to students in school but that may not be the case at home. By providing tech for students to assist with homework helps promote #EdEquity. https://t.co/ho4Vm0BBVa","","3","5"
"#edgap","Aquila Education","","False","1084057626961473537","2019-01-12 12:00:53","A great initiative led by #Google helping to close the #EdGap. #EdTech is more easily available to students in school but that may not be the case at home. By providing tech for students to assist with homework helps promote #EdEquity. 

#EdChatEU #EdChat

https://t.co/OElb1MhO5V","","0","1"
"#edgap","eCampus News","Maryland","False","1083859886373552128","2019-01-11 22:55:08","What are you doing to improve student success? #highered #edgap #equity https://t.co/hHaSKuhrA6","","0","0"
"#edgap","Julie Mushing","Grand Rapids, MI","False","1083737797482156032","2019-01-11 14:50:00","Struggling to translate systems theory into systems action?  @FSGtweets offering a free webinar on the six conditions of systems change https://t.co/9iyMneFZhu #miched #edequity #equityed #edgap","","0","0"
"#edgap","James Clark","unite","False","1083617370848063488","2019-01-11 06:51:28","RT @ChuangyouQ: https://t.co/1q9MG4Vax2  Laclan's China time.  Find out more about our cultural exchange program please visit https://t.co/…","","3","0"
"#edgap","Chuangyou&AriseChina Sonny Qu","Brisbane City, Brisbane","False","1083609978206707714","2019-01-11 06:22:05","RT @ChuangyouQ: https://t.co/1q9MG4Vax2  Laclan's China time.  Find out more about our cultural exchange program please visit https://t.co/…","","3","0"
"#edgap","TheDailyEDU","","False","1083549284388212736","2019-01-11 02:20:55","RT @ChuangyouQ: https://t.co/1q9MG4Vax2  Laclan's China time.  Find out more about our cultural exchange program please visit https://t.co/…","","3","0"
