"Search Term","Username","Location","Verified User?","Tweet ID","Tweet Time","Tweet Text","Tweet Place","Retweet Count","Favorite Count"
"#edleadership","Brad Niessen","Touring","False","1084569379218563073","2019-01-13 21:54:24","This one is to inspire classroom teachers who use flexible seating! #SchoolCulture
#FutureDriven #EdLeadership #Lead #Edchat #edtech #teachers #flexibleseating https://t.co/BmOej9mM8Z","Place(contained_within=[], url='https://api.twitter.com/1.1/geo/id/1661ada9b2b18024.json', attributes={}, place_type='city', country='United States', full_name='Wichita, KS', country_code='US', bounding_box=BoundingBox(type='Polygon', _api=<tweepy.api.API object at 0x7f0d5d112908>, coordinates=[[[-97.5349059, 37.562483], [-97.152924, 37.562483], [-97.152924, 37.80531], [-97.5349059, 37.80531]]]), _api=<tweepy.api.API object at 0x7f0d5d112908>, id='1661ada9b2b18024', name='Wichita')","0","1"
"#edleadership","Kelly Bell","Killcare, New South Wales","False","1084564776489893888","2019-01-13 21:36:07","Sneak peek of a #passionproject launching soon! #edublogs #edpodcasts #edleadership #pedagogy #thelearningnetwork @PDHPE_NSWPS @NSWEducation @GonskiInstitute https://t.co/5WEjVJkqrM","","0","0"
"#edleadership","Eric Saibel","California, USA","False","1084563903797899264","2019-01-13 21:32:39","RT @GSPlayDay: #Suptchat friends: your leadership is instrumental in helping bring #play back to kids’ lives. Join the Global School Play D…","","1","0"
"#edleadership","Julia Haug","Austin, TX","False","1084558864828256256","2019-01-13 21:12:38","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Bo Olsen","Roskilde, Danmark","False","1084557669267066882","2019-01-13 21:07:53","RT @ByronErnest: Good morning! 🌞 Have a great day. Keep trying.
#edleadership #leadership
#LeadershipDevelopment https://t.co/HrursQaWl5","","3","0"
"#edleadership","Nicole Marion","Windsor, Ontario","False","1084537919723982849","2019-01-13 19:49:24","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Danny Sunshine Bauer","Glasgow, Scotland","False","1084526149470957568","2019-01-13 19:02:38","RT @PodcastingToday: Have you ever wanted to create a successful mastermind around your podcast? Check out my podcast interview with @alien…","","1","0"
"#edleadership","Thomas Riddle","Greenville, SC","False","1084525026332852224","2019-01-13 18:58:10","Imagine what could happen if we applied these lessons to our classrooms. How might they impact the effectiveness of learning and the culture of your schools? | What Toy Story Can Teach Us about Leadership and Teamwork https://t.co/Hq6yX0yFgH #ImagineeringEd #sunchat #edleadership https://t.co/G4S5yRGsCB","","0","0"
"#edleadership","Chris Spies","","False","1084513642689843209","2019-01-13 18:12:56","Inc. list of top reads for leadership! https://t.co/XZZ6qHPPop #edleadership #principal #leadershipMatters #readlist2019pl","","0","0"
"#edleadership","Marta","Barcelona","False","1084510405634994176","2019-01-13 18:00:04","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Chris Muller","Mexico City, Mexico","False","1084509939593297921","2019-01-13 17:58:13","Teacher Leadership is About Relentless Improvement - NBPTS | Shaping the profession that shapes America's future. - NBPTS | Shaping the profession that shapes America's future. #edleadership  https://t.co/Wna7Zju9vJ","","0","0"
"#edleadership","Jeffrey Bradbury","New Jersey","False","1084508899804352513","2019-01-13 17:54:05","Have you ever wanted to create a successful mastermind around your podcast? Check out my podcast interview with @alienearbud today!

https://t.co/keTLkkcdgp

#EDUPodcast #PodcastPD #EdTech #EdLeadership #Mastermind #EdChat #BLBS https://t.co/SrVZ0bLfRs","","1","2"
"#edleadership","Jenn","","False","1084500028293406720","2019-01-13 17:18:50","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Will Richardson - Time to Change School","Flemington, New Jersey","False","1084495804482703360","2019-01-13 17:02:03","The list of participants for Change School's 7th Cohort is already growing. Registration is now open. https://t.co/gVQFpgUUjF ""Takes professional learning to an entirely new level."" Join us! #edchat #education #edleadership https://t.co/cAGmCCLiKt","","0","1"
"#edleadership","Claudette Trujillo","Northglenn, CO","False","1084489276211945473","2019-01-13 16:36:06","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Cindy Beals","Hong Kong","False","1084488022589038592","2019-01-13 16:31:08","RT @ejhudson: ""These trend predictions are not all or nothing, but rather strong currents in a sea of well-intentioned ideas."" via @michael…","","4","0"
"#edleadership","megan","","False","1084486100574396417","2019-01-13 16:23:29","RT @ByronErnest: Good morning! 🌞 Have a great day. Keep trying.
#edleadership #leadership
#LeadershipDevelopment https://t.co/HrursQaWl5","","3","0"
"#edleadership","SprintbaseBot","","False","1084482429467930624","2019-01-13 16:08:54","RT @am_gallagher: So many reasons to sign up for #DesignThinking for EduLeaders.  Reason #1  Sign up Now!  #DT4EduLeaders https://t.co/G6Ik…","","1","0"
"#edleadership","Alyssa Gallagher","Los Angeles, CA","False","1084481485309124608","2019-01-13 16:05:09","So many reasons to sign up for #DesignThinking for EduLeaders.  Reason #1  Sign up Now!  #DT4EduLeaders https://t.co/G6IkxQCjIE #edchat #EdLeadership https://t.co/mPPJYN43yx","","1","1"
"#edleadership","Dr. Byron L. Ernest","Indianapolis, Indiana","False","1084480216955871244","2019-01-13 16:00:07","What books are you reading right now? 📚 Here’s what I’m working on. 📖List includes great books by authors like ⁦@dnaworldwideHQ⁩ &amp; ⁦@LeeCockerell⁩. #edleadership #leadership ⁦@teambuzzbuilder⁩ ⁦@beckyrbnsn⁩ ⁦@weaveinfluence⁩ https://t.co/Kfjs3wrj6Q","","0","0"
"#edleadership","Dr. Byron L. Ernest","Indianapolis, Indiana","False","1084478249021906944","2019-01-13 15:52:17","📚 What books did you finish reading this week? 📖 Here’s my list. ✍️ I have read 7 of my  125 book 2019 goal by great authors like ⁦@Frans_Johansson⁩. https://t.co/XOyg5GAEq1 #edleadership #leadership #LeadershipDevelopment","","0","0"
"#edleadership","Karl Ubelhoer","Ocean County, NJ","False","1084476910502117376","2019-01-13 15:46:58","@cherandpete Focus. Time. Permission. Commitment.
Provide a focus not a direction; we can do that.
Time to think &amp; talk.
Allow us to develop &amp; plan possible solutions.
Commit to letting us experiment w/ our solutions.

WE want risk-takers. Don’t you?
#edleadership #edadmin #tlap #leadlap","","0","0"
"#edleadership","Paul Ferris","Signal Mountain, TN","False","1084476039844323330","2019-01-13 15:43:31","""If your actions inspire others to dream more, learn more and do more and become more, you are a leader"" - John Quincy Adams  
#JoyfulLeaders #EducationForFuture #edleadership https://t.co/M74ilDBOSw","Place(contained_within=[], url='https://api.twitter.com/1.1/geo/id/bc052841ae7a76be.json', attributes={}, place_type='city', country='United States', full_name='Walden, TN', country_code='US', bounding_box=BoundingBox(type='Polygon', _api=<tweepy.api.API object at 0x7f0d5d112908>, coordinates=[[[-85.329079, 35.132539], [-85.276898, 35.132539], [-85.276898, 35.190998], [-85.329079, 35.190998]]]), _api=<tweepy.api.API object at 0x7f0d5d112908>, id='bc052841ae7a76be', name='Walden')","0","1"
"#edleadership","Ron Hoch","Harrisonburg, VA","False","1084471613729452033","2019-01-13 15:25:55","An important read for all #educators: 2018 Education Research Highlights  #edchat #edleadership #education #penngseslp10  https://t.co/HZRR4FyyUD","","0","0"
"#edleadership","James Villarrubia","Manhattan, NY","False","1084470877679431680","2019-01-13 15:23:00","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Diana Prince","Las Vegas, NV - USA","False","1084470599441801217","2019-01-13 15:21:54","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Jared R. Francis","","False","1084467641211895808","2019-01-13 15:10:08","How do you keep everyone on the same page in an decentralized decision making environment? More on our school’s implementation of #teamofteams. https://t.co/cuHHJjBiso #edleadership #leadership #schools @FussellChris @StanMcChrystal","","0","1"
"#edleadership","Dautaofduniverse","","False","1084466532170764288","2019-01-13 15:05:44","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Sam Parrett OBE","Bromley, London","False","1084465433258979329","2019-01-13 15:01:22","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Malaby Byrd","Omaha, NE","False","1084464383860899841","2019-01-13 14:57:12","RT @showmerob: 'Signing Day' recognizes high school seniors starting jobs, not college #LoveThis ⁦@OPS_LoganSupt⁩ #futureofwork #edleadersh…","","1","0"
"#edleadership","Thomas Riddle","Greenville, SC","False","1084460159525703681","2019-01-13 14:40:24","Having participated in several #DisneyInstitute trainings, I highly recommend these sessions. While you may think these are only designed for business, their principles are equally applicable to schools settings. #EdLeadership #Principal https://t.co/QVWm3Wiq8n","","0","0"
"#edleadership","Michael Soskil","Pennsylvania, United States","False","1084455943985905666","2019-01-13 14:23:39","RT @MrU_ishere: Give teachers permission to take risks. Support them w/time &amp; (reasonable) resources. Help promote initiatives to the BOE,…","","1","0"
"#edleadership","Debbie Reynolds","","False","1084454177793888256","2019-01-13 14:16:38","RT @kerszi: I would say that this totally applies to work culture, too.  Can’t be successful if the team culture isn’t healthy.

#EdLeaders…","","2","0"
"#edleadership","Julie A. Pack","NC","False","1084452594200838144","2019-01-13 14:10:21","RT @digital_apple: Keep your head up! #leadership #educhat #edleadership https://t.co/YXDWO06Q6r","","1","0"
"#edleadership","Charity Zawatski","Gouverneur, NY","False","1084452026564706304","2019-01-13 14:08:05","RT @MattHarrisEdD: INFOGRAPHIC - These ARE our Students now, Now, NOW. @McCrindleRsrch #edtech #edchat #edleadership #k12 #CE15 https://t.c…","","434","0"
"#edleadership","Marci Houseman","Sandy, UT","False","1084449993283366913","2019-01-13 14:00:01","Are you looking to magnify and amplify the efforts of those around you? Join me on my journey to become a Multiplier in 2019! #leadership #WeLeadEd #EdLeadership #suptchat #satchat #edchat #MasteryChat #leadupchat

Learn more here: https://t.co/cyYG8M2ksp https://t.co/zQxUtnw32u","","0","3"
"#edleadership","Stephanie Wheeler","Florida, USA","False","1084449180142182400","2019-01-13 13:56:47","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Jennifer Gates","","False","1084447858084990977","2019-01-13 13:51:32","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Keyanna Jones","","False","1084443529517125637","2019-01-13 13:34:20","RT @kerszi: I would say that this totally applies to work culture, too.  Can’t be successful if the team culture isn’t healthy.

#EdLeaders…","","2","0"
"#edleadership","Bart Reynolds","Millcreek, UT","False","1084443161039036419","2019-01-13 13:32:52","RT @INFJPhD: Woohoo! For those watching, @wgu continues to prove itself an innovator and pioneer in new higher ed models! We're the ones to…","","4","0"
"#edleadership","Shepherd's Promise School","Greenville, SC","False","1084438284800065536","2019-01-13 13:13:29","RT @think_inclusive: Do NOT Go to the Principal’s Office (Video) https://t.co/Ul94rT7gSZ Love this leader's heart! She shuns a formal offic…","","18","0"
"#edleadership","Kevin Fiene","Des Moines, IA","False","1084437403329327105","2019-01-13 13:09:59","RT @GrundmeyerLeadS: Are you thinking about taking the next step in leadership? Check out GLS's Applicant Insights for helpful tips from ou…","","2","0"
"#edleadership","𝔻𝕣. 𝔼𝕣𝕚𝕜 𝕐𝕠𝕦𝕟𝕘𝕞𝕒𝕟 #𝔻𝟟𝟘","Illinois, USA","False","1084437360719396864","2019-01-13 13:09:49","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Hyesin Kaiser","","False","1084426957511524352","2019-01-13 12:28:29","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Physics Classroom","Chicago Area","False","1084426481428762624","2019-01-13 12:26:35","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Marc Wachtfogel PhD 🌐","Minot, North Dakota","False","1084423212392480768","2019-01-13 12:13:36","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Michael Josef Siedlecki","","False","1084421891773878272","2019-01-13 12:08:21","RT @ByronErnest: Good morning! 🌞 Have a great day. Keep trying.
#edleadership #leadership
#LeadershipDevelopment https://t.co/HrursQaWl5","","3","0"
"#edleadership","Dr. Byron L. Ernest","Indianapolis, Indiana","False","1084420995635691520","2019-01-13 12:04:47","Good morning! 🌞 Have a great day. Keep trying.
#edleadership #leadership
#LeadershipDevelopment https://t.co/HrursQaWl5","","3","6"
"#edleadership","Catherine Mackay","Scotland /USA/Global","False","1084416957519224832","2019-01-13 11:48:44","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Eduro Learning","Worldwide","False","1084413253592190976","2019-01-13 11:34:01","Wondering how the #EduroLearning Coach Microcredential helps you #coachbetter? Don't take our word for it, see what our participants have to say! 😎 @jpoukka

#isedcoach #etcoaches #aussieed #africaed #asiaed #edchat #edchatmena #edtech #COETAIL #edleaders #edleadership #edchateu https://t.co/pRo8SGU5Wg","","0","4"
"#edleadership","Karl Ubelhoer","Ocean County, NJ","False","1084385170457853952","2019-01-13 09:42:26","Give teachers permission to take risks. Support them w/time &amp; (reasonable) resources. Help promote initiatives to the BOE, the local community, &amp; the broader ed community; this expands opportunities &amp; access and promotes pride. #sparkempathy #edadmin #edleadership https://t.co/9Gj7cjW3fY","","1","1"
"#edleadership","Barbara A.Zielonka","Norway","False","1084367499586662400","2019-01-13 08:32:13","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Sharon Kehl Califano","Utah, USA","False","1084363221006376960","2019-01-13 08:15:13","RT @INFJPhD: Woohoo! For those watching, @wgu continues to prove itself an innovator and pioneer in new higher ed models! We're the ones to…","","4","0"
"#edleadership","Kiriaki Melliou","Piraeus, GREECE","False","1084336495480266752","2019-01-13 06:29:01","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Bethany Hill🌟#JoyfulLeaders","Cabot, AR","False","1084324421014376448","2019-01-13 05:41:02","RT @think_inclusive: Do NOT Go to the Principal’s Office (Video) https://t.co/Ul94rT7gSZ Love this leader's heart! She shuns a formal offic…","","18","0"
"#edleadership","essraa khamis","Riyadh, Kingdom of Saudi Arabia","False","1084319477557276673","2019-01-13 05:21:23","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","tiffany rybicki","Southgate, Mi","False","1084319444980109312","2019-01-13 05:21:16","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Aaron J.J. Kiselbach 🇨🇦","Chiba Prefecture 🇯🇵","False","1084314013620613120","2019-01-13 04:59:41","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Nancy Matsukawa","","False","1084311050646736896","2019-01-13 04:47:54","RT @tedfujimoto: School should not be about grades but about maximizing the creation of new neural pathways in the brain. #deeperlearning #…","","111","0"
"#edleadership","D Sherr","","False","1084308021080137733","2019-01-13 04:35:52","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","AnitaS","Indiana, USA","False","1084298784601972736","2019-01-13 03:59:10","RT @ByronErnest: “Follow your heart. Do something you are interested in, do something you can get energized about. That is where passion co…","","1","0"
"#edleadership","Lisa C. Vallacchi","","False","1084296863153618945","2019-01-13 03:51:32","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","xiomara cruz","Singapore","False","1084296050284752896","2019-01-13 03:48:18","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Dr Mansour Mansour","Dallas, TX","False","1084290277123211264","2019-01-13 03:25:21","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Janis O'Keefe","","False","1084289391143448576","2019-01-13 03:21:50","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Angie Law","USA","False","1084284138822070273","2019-01-13 03:00:58","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Marta Isabel Serna N","Church-Yonge Corridor, Toronto","False","1084276242688471048","2019-01-13 02:29:35","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Kathi Kersznowski","New Jersey, USA","False","1084266628131549185","2019-01-13 01:51:23","I would say that this totally applies to work culture, too.  Can’t be successful if the team culture isn’t healthy.

#EdLeadership #TeamLeader https://t.co/KkFzTBfk4V","","2","9"
"#edleadership","Kate Eichten Amlee","","False","1084266111644913664","2019-01-13 01:49:20","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Jennifer Harriet","","False","1084260891913347072","2019-01-13 01:28:35","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Beautiful Forever","United States","False","1084258510454575105","2019-01-13 01:19:08","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Donna Pedersen","Overland Park, KS","False","1084256716924039169","2019-01-13 01:12:00","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Craig Jordan","","False","1084251110930403328","2019-01-13 00:49:43","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Karl Ubelhoer","Ocean County, NJ","False","1084249242074529798","2019-01-13 00:42:18","@daviswelcome A1. Change means nothing - if it isn't right-minded, right-hearted, right-presented and right-supported.  #engagechat #edadmin #edleadership","","0","0"
"#edleadership","Dr. Patricia Griffin","LI NY","False","1084247195732402176","2019-01-13 00:34:10","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Louise Wrage","","False","1084246208548401152","2019-01-13 00:30:15","RT @FrontlineEdu: #Superintendents, are you interested in networking with other leaders to share the challenges and ideas as a district lea…","","13","0"
"#edleadership","Shannon J. Salisbury","Florida, USA","False","1084242342092173312","2019-01-13 00:14:53","Today began a new chapter in my career as an educator.  Proud to be a new Hatter at  @StetsonU! #edleadership #sixdayschoolweek https://t.co/vnWbzhpu8h","","0","11"
"#edleadership","Tara Grove","","False","1084241896090804224","2019-01-13 00:13:06","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Chandra Manning","North Carolina","False","1084241500454744064","2019-01-13 00:11:32","Keep your head up! #leadership #educhat #edleadership https://t.co/YXDWO06Q6r","","1","3"
"#edleadership","Roslyn","","False","1084240686399012864","2019-01-13 00:08:18","RT @globaledcon: Will you be in Chicago on March 15th? Join us at the Global Leadership Summit at #empower19! Registration is now open. #gl…","","1","0"
"#edleadership","Bonnie Bracey-Sutton","Washington, DC","False","1084237384127049728","2019-01-12 23:55:11","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Susan Pensack","Pennsylvania, USA","False","1084224445366128641","2019-01-12 23:03:46","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
"#edleadership","Rob Dickson","Omaha, NE","False","1084223529858596864","2019-01-12 23:00:08","'Signing Day' recognizes high school seniors starting jobs, not college #LoveThis ⁦@OPS_LoganSupt⁩ #futureofwork #edleadership  https://t.co/66CUPfU8Gm","","1","9"
"#edleadership","Jozi South Africa"," Jozi South Africa","False","1084222731418259458","2019-01-12 22:56:57","RT @MindShiftKQED: Active #listening is so important and hard to do really well. Takes a lot of practice! #sketchnote via @ImpactWales  @jh…","","180","0"
