"Search Term","Username","Location","Verified User?","Tweet ID","Tweet Time","Tweet Text","Tweet Place","Retweet Count","Favorite Count"
"#educationalequity","Lizana Oberholzer FCCT","UK","False","1084392178913329153","2019-01-13 10:10:17","RT @drlisamooney: Creating pathways for women into leadership should be a critical part of our own leadership qualities 
 #leadership #insp…","","1","0"
"#educationalequity","He is Me Institute","Boston, MA","False","1084195581894017024","2019-01-12 21:09:04","Why do we need more Black male educators? Here are 5 reasons!

https://t.co/MeBaPSU6WS

#BlackExcellence #Top5 #equity #blackmen #educationmatters #educationalequity #blackmaleteachers #progress #teaching #blackwealth","","0","1"
"#educationalequity","LEE National","nationwide","False","1083844028389576704","2019-01-11 21:52:07","RT @Yissely_Ortiz: Thank you @galeabrewer @DianaAyalaNYC @ManhattanCB11 &amp; @cec4eastharlem  for being part of our #BlazingTheTrail series, a…","","3","0"
"#educationalequity","TheDailyEDU","","False","1083760616731561992","2019-01-11 16:20:40","RT @1TeacherAZ: Anyone else have dog ""assistants"" at their virtual office?  Show us those pups!  

#dogsofOneTeacher #OneTeacher #k12 #educ…","","1","0"
"#educationalequity","OneTeacher","Phoenix, AZ","False","1083753905907949568","2019-01-11 15:54:00","Anyone else have dog ""assistants"" at their virtual office?  Show us those pups!  

#dogsofOneTeacher #OneTeacher #k12 #education #Arizona #hiring #educationalequity https://t.co/i610QgQSwI","","1","1"
"#educationalequity","Gale A. Brewer","New York, NY","True","1083584240208482310","2019-01-11 04:39:49","RT @Yissely_Ortiz: Thank you @galeabrewer @DianaAyalaNYC @ManhattanCB11 &amp; @cec4eastharlem  for being part of our #BlazingTheTrail series, a…","","3","0"
"#educationalequity","Ayisha","NYC","False","1083583212117467142","2019-01-11 04:35:44","RT @Yissely_Ortiz: Thank you @galeabrewer @DianaAyalaNYC @ManhattanCB11 &amp; @cec4eastharlem  for being part of our #BlazingTheTrail series, a…","","3","0"
"#educationalequity","Yissely Ortiz","New York, NY","False","1083582950866935813","2019-01-11 04:34:42","Thank you @galeabrewer @DianaAyalaNYC @ManhattanCB11 &amp; @cec4eastharlem  for being part of our #BlazingTheTrail series, and partnering with @LEE_National to inspire folks to step up &amp; lead! #EducationalEquity #Leadership https://t.co/LdGnT2qv51","","3","12"
"#educationalequity","Alder GSE","California & Tennessee","False","1083480047799853056","2019-01-10 21:45:48","A warm Alder welcome back to all our residents, mentors, directors, partners, faculty and staff!
#educationalequity #happynewyear #readyfor2019 https://t.co/JMdB6AYEmR","","0","5"
"#educationalequity","Mandy Mahr","","False","1083380306512617472","2019-01-10 15:09:27","This goes along with what I learned from @newfrontier21 on Tuesday- all students are motivated- but many don’t have as much hope- or confidence - build hope by creating more equity in education! #educationalequity https://t.co/CKzkqlDLmY","","0","2"
"#educationalequity","Dr Lisa Mooney","London, England","False","1083282809295462405","2019-01-10 08:42:02","Creating pathways for women into leadership should be a critical part of our own leadership qualities 
 #leadership #inspiration #educationalequity #authenticleadership #positiveaction https://t.co/1n6L1xbGb3","","1","1"
"#educationalequity","Johanna Sanchez","Escondido, Ca.","False","1083224350147325953","2019-01-10 04:49:45","RT @DrJoseManuelV: A powerful 2 days of #professionaldevelopment inspired  Energy Bus quote “so enthusiasm gets them excited about being on…","","3","0"
"#educationalequity","PS212PTA","Brooklyn, NY","False","1083182429022629889","2019-01-10 02:03:10","RT @NYSEDNews: We are committed to increasing student achievement, safety, &amp; wellness. Find resources on #SocialEmotional Learning, mental…","","8","0"
"#educationalequity","PCSmith","Syracuse NY","False","1083176753676406784","2019-01-10 01:40:37","RT @NYSEDNews: What do parents need to know about #ESSA? Fact sheets for parents are available in 15 languages on our new ESSA website. The…","","12","0"
"#educationalequity","Marissa Calderón Jiménez🇲🇽","Mesa, AZ","False","1083164280050995200","2019-01-10 00:51:03","RT @1TeacherAZ: There's a teacher shortage...now what?  Check out OneTeacher's January newsletter to find out. https://t.co/xIdk2ux0Nu 

#k…","","2","0"
"#educationalequity","James Clark","unite","False","1083164254415523840","2019-01-10 00:50:57","RT @1TeacherAZ: New role!  We're hiring an elementary computer science teacher for our roles in Phoenix, AZ!  Apply today at https://t.co/x…","","2","0"
"#educationalequity","Marissa Calderón Jiménez🇲🇽","Mesa, AZ","False","1083164033300066305","2019-01-10 00:50:04","RT @1TeacherAZ: New role!  We're hiring an elementary computer science teacher for our roles in Phoenix, AZ!  Apply today at https://t.co/x…","","2","0"
