"Search Term","Username","Location","Verified User?","Tweet ID","Tweet Time","Tweet Text","Tweet Place","Retweet Count","Favorite Count"
"#educhat","Pete Brown","Western Australia","False","1084587305803878400","2019-01-13 23:05:39","OVO Back to School https://t.co/AFnqaYVnn7 #edtech #edutech #educhat #edchat #21stedchat","","0","0"
"#educhat","Karen Innes","Gold Coast, Australia","False","1084586455471702016","2019-01-13 23:02:16","The latest The Karen Innes Weekly! https://t.co/kBFPPpisqX Thanks to @C_Hendrick @3ammagazine #edchat #educhat","","0","0"
"#educhat","Using Tech Better","World Wide","False","1084585957796601856","2019-01-13 23:00:17","A PERSON who feels APPRECIATED will always do more than what is expected. 👌

#MondayMotivation #edchat #joyfulleaders #futuredriven #whatisschool #kidsdeserveit #iteach #educhat #utb

Double tap if you agree! 🔥🔥🔥 https://t.co/JgxfL9o4KT","","0","0"
"#educhat","brad","","False","1084585654607065089","2019-01-13 22:59:05","URGENT children grades 2-12 need wisdom too many breaking rules https://t.co/FiUpxQDYAt #elearning #KidsDeserveIt #mschat #middleschool #highschool #edleaders #edpolicy #suptchat #elementary #principalchat #bullying #character #philanthropy #teaching #educhat https://t.co/XlMDiDKHuR","","0","0"
"#educhat","dennis puhr","Chicago, IL","False","1084583314516836353","2019-01-13 22:49:47","The Complete Beginner's Guide to Choice Boards ⁦@BozicEmerson4BP⁩ #tigerslearn
 #EdChat
#EdLeaders
#Edu
 #Education
#Educhat
#Parents
#Principals
#Student(s)
#Teacher(s)
 #BlendedLearning
#Curriculum
#DeeperLearning
#DesignThinking
#GrowthMindset
 https://t.co/cbQGhmkwgC","","0","0"
"#educhat","Lisa Hoelmer","","False","1084580570032672770","2019-01-13 22:38:53","RT @TanELLclassroom: Types of #newcomers. Knowing who they are is knowing how to support them. #pathwaystogreatness @dr_aquagirl #ellchat_b…","","11","0"
"#educhat","Dr. Adam D. Drummond","Huntington, Indiana","False","1084579836981637121","2019-01-13 22:35:58","Consider another way to lead relationship strengthening among teachers, students, and you - the administrator. #suptchat #educhat #iaedchat #KidsDeserveIt https://t.co/eiGfiN35WL","","0","0"
"#educhat","Matt Figueiredo","Cambridge, Ontario","False","1084579133085179907","2019-01-13 22:33:10","RT @TeacherAdvice: 9 Ways to Demystify Classroom Management https://t.co/6CyW6GwAJ1
#newteacherjourney #firstyearteacher #ntchat #educhat #…","","1","0"
"#educhat","Jean Mercier presents","Montreal, Canada","False","1084578335731187714","2019-01-13 22:30:00","Life as it should be: there for one another! 
Should we do more like this?
Our #comedy #drama #TVseries is on #amazon #US  #PrimeVideo #AmazonPrimeVideo #kindleFire #FireTV #Prime
#teens #family #kids #community #livingtogether #NATPE #FCC #NATOA #educhat","","0","0"
"#educhat","Anne-Marie Chorlton","Adelaide, South Australia","False","1084577270461652992","2019-01-13 22:25:46","RT @AusLessons: Learning How To Tell Time – A Maths Lesson Plan for Years 2/3/4 #edchat #learn #edu #teach #educhat https://t.co/BmDrjqJ5W7","","1","0"
"#educhat","Anne-Marie Chorlton","Adelaide, South Australia","False","1084577168720519168","2019-01-13 22:25:22","RT @AusLessons: Seven Little Australians Study Booklet – A Literature Study for Years 5-7 #edchat #learn #edu #teach #educhat https://t.co/…","","1","0"
"#educhat","Michele Fedyk","","False","1084575465367494656","2019-01-13 22:18:36","RT @FirstBook: For kids with #dyslexia, exposure to words in context through ear-reading can significantly reduce reading barriers - https:…","","6","0"
"#educhat","BISD Digital Lrng","Belton, TX","False","1084574345991618560","2019-01-13 22:14:09","RT @TCEA: Get a free template for an activity board that you can use in Google Classroom. https://t.co/4j5GNB1QGc  #googleclassroom #coolto…","","8","0"
