"Search Term","Username","Location","Verified User?","Tweet ID","Tweet Time","Tweet Text","Tweet Place","Retweet Count","Favorite Count"
"#nclb","Sara Rogers","","False","1084551189784596481","2019-01-13 20:42:08","Snow day!!❄️☃️ #snow #cookies #coffee #january #indianawinters #nclb #netflixiscalling #blacklistbingewatching #pjsallday https://t.co/0ttFBeabgz","","0","0"
"#nclb","Erin","Fort Worth, TX","False","1083875843791880193","2019-01-11 23:58:33","RT @The74: ICYMI: Middle-skills careers were overshadowed by #NCLB, but they may be a more equitable goal than “college for all” #futureofw…","","2","0"
"#nclb","Coach Scott","East LA","False","1083874596305027073","2019-01-11 23:53:35","RT @The74: ICYMI: Middle-skills careers were overshadowed by #NCLB, but they may be a more equitable goal than “college for all” #futureofw…","","2","0"
"#nclb","The 74","New York, NY","True","1083874447696769024","2019-01-11 23:53:00","ICYMI: Middle-skills careers were overshadowed by #NCLB, but they may be a more equitable goal than “college for all” #futureofwork https://t.co/fXiTLL2rrL","","2","4"
"#nclb","Sara Rogers","","False","1083728460424667137","2019-01-11 14:12:54","Cozy up this weekend with a warm batch of Hot Chocolate cookies! 🍪☕ #winterweather #callsforcookies #hotchocolate #nclb #online https://t.co/528aIrm98m","","0","0"
"#nclb","MadMatt","Chicago, IL","False","1083525041587920897","2019-01-11 00:44:35","Don’t let @TheDemocrats off the hook again, @AnaKasparian, when assigning blame 4 #NCLB No Child Left Behind: Kennedy &amp;  other corporate democrats were on board &amp; was on stage supporting Bush as he signed it into law, 2. 

U don’t like to criticize Democrats, do you?

#tytlive","","0","0"
"#nclb","nickels","TwitterVerse","False","1083472496500854784","2019-01-10 21:15:47","@_millyrackz @IUseCondoms @Queen_Miso @doubleed_ If this is your response you literally didn't understand a thing i said. Sad is I learned this stuff in middle school.  Idk how wandered over to #nclb &amp; #commoncore Twitter but def won't make this mistake again.","","0","0"
"#nclb","ICAO","Headquarters in Montreal, CAN","True","1083379501931753472","2019-01-10 15:06:16","@ACIWorld @SimonCalder @Independent We liked it too, but did notice you were missing! And @IFALPA, @ifatca, &amp; @IFATSEA 😀 Another two very important #aviation acronyms in this #ICAO75 year - #CORSIA and #NCLB. 

#avgeeks #GlobalGoals","","0","3"
"#nclb","ICAO","Headquarters in Montreal, CAN","True","1082978110281342977","2019-01-09 12:31:16","RT @ICAOMID: ICAO MID Office Newsletter Nov-Dec 2018 is now available
on our website.
In this issue: #HLCAS/2, #AVSEC Symposium, @ICAO 5th…","","1","0"
"#nclb","ICAO MID Office","Cairo, Egypt","True","1082907648977264640","2019-01-09 07:51:17","ICAO MID Office Newsletter Nov-Dec 2018 is now available
on our website.
In this issue: #HLCAS/2, #AVSEC Symposium, @ICAO 5th Global #Aviation #Training, Interregional Aviation #Security
Seminar, MSG/6, WHMC, MRC/5, #NCLB missions.
Full list of events. https://t.co/yw9lwzdwcM https://t.co/tG1fW76Eu2","","1","8"
"#nclb","Sara Rogers","","False","1082637760920473600","2019-01-08 13:58:51","We hope 2019 is full of blessings and sprinkled with abundant joy. 🍪🎉 #2019 #newyear #abundance #expectancy #blessings #courage #calm #nclb https://t.co/Li0etPVAZr","","0","4"
"#nclb","Mohamed Rahma","Cairo, Egypt","False","1082635253557145601","2019-01-08 13:48:53","RT @ICAOMID: Cheers to a year of creativity, dedication, hard work and success. We are grateful for your support and we are committed to wo…","","1","0"
"#nclb","ICAO MID Office","Cairo, Egypt","True","1082613462759546882","2019-01-08 12:22:18","Cheers to a year of creativity, dedication, hard work and success. We are grateful for your support and we are committed to working together to ensure that No Country is Left Behind #NCLB
Our latest Newsletter Nov-Dec 2018 &amp; Year in Review are available on https://t.co/yw9lwzdwcM https://t.co/H0j3d7ux9P","","1","5"
"#nclb","ManufacturingStories","Phase65, Inc., Dublin, NH USA","False","1082484301600563200","2019-01-08 03:49:03","Pressuring schools to raise test scores eventually stops working via @Chalkbeat
#NCLB #ESSA #Education #StandardizedTesting #school 
✅ https://t.co/6fMp8aW27A https://t.co/ss7k2Zoj0J","","0","2"
