"Search Term","Username","Location","Verified User?","Tweet ID","Tweet Time","Tweet Text","Tweet Place","Retweet Count","Favorite Count"
"#opportunitygap","Timothy Shanahan","Chicago, IL, USA","False","1083573978554351617","2019-01-11 03:59:02","RT @rigoriscoming: Have you checked out “Newfound Reads?” I have added many great books to my reading list thanks to students’ book review…","","2","0"
"#opportunitygap","Bibb County Schools","Macon, GA","True","1083568974913302528","2019-01-11 03:39:10","RT @eileencerca: Consistent Writing Instruction Leads to Major Growth! Great leaders + Great Teachers + teacher-created Thinkcerca = #oppor…","","1","0"
"#opportunitygap","Aneesha Jones, M.Ed.","Nashville, Tennessee","False","1083536456293982208","2019-01-11 01:29:56","RT @rigoriscoming: Have you checked out “Newfound Reads?” I have added many great books to my reading list thanks to students’ book review…","","2","0"
"#opportunitygap","Curriculum Kim","New Hampshire, USA","False","1083521937475858433","2019-01-11 00:32:15","Have you checked out “Newfound Reads?” I have added many great books to my reading list thanks to students’ book review submissions. Newfound kids are devouring books and writing about them. At NASD, we are working hard to close the #opportunitygap. https://t.co/HTLA6PfLjw","Place(contained_within=[], _api=<tweepy.api.API object at 0x7ff534696940>, place_type='admin', full_name='New Hampshire, USA', country='United States', attributes={}, id='226b21641df42460', url='https://api.twitter.com/1.1/geo/id/226b21641df42460.json', name='New Hampshire', country_code='US', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7ff534696940>, type='Polygon', coordinates=[[[-72.557247, 42.6969837], [-70.575095, 42.6969837], [-70.575095, 45.305476], [-72.557247, 45.305476]]]))","2","3"
"#opportunitygap","Eileen Murphy","Chicago, IL","False","1083416941069516802","2019-01-10 17:35:02","Consistent Writing Instruction Leads to Major Growth! Great leaders + Great Teachers + teacher-created Thinkcerca = #opportunitygap is closing fast! Go #BibbVIP https://t.co/jKaFkk2Bw6","","1","10"
"#opportunitygap","Career and Technical Education at Minnesota State","St Paul, MN","False","1083404375937175552","2019-01-10 16:45:06","RT @AchieveMpls: Hanane Kachman is a Workforce Development Consultant at @FairviewHealth. Learn how she creates career pathways for HS &amp; co…","","2","0"
"#opportunitygap","Kristina Chmelka","","False","1083190437861457921","2019-01-10 02:34:59","Alignment is key to giving our underserved students multiple opportunities to master learning targets. #balancedliteracy #eld #equity #opportunitygap https://t.co/osihKmKnTt","","0","1"
"#opportunitygap","Curriculum Kim","New Hampshire, USA","False","1083137405945868293","2019-01-09 23:04:15","@beabearnmms I think we found our next PLC focus. We are striving to close the #opportunitygap https://t.co/XwbJKoBVoY by evaluating both our materials and our instruction to ensure Ss are practicing &amp; getting better at the things the standards call for. @achievethecore #equity https://t.co/RB0j8J2TL2","Place(contained_within=[], _api=<tweepy.api.API object at 0x7ff534696940>, place_type='admin', full_name='New Hampshire, USA', country='United States', attributes={}, id='226b21641df42460', url='https://api.twitter.com/1.1/geo/id/226b21641df42460.json', name='New Hampshire', country_code='US', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7ff534696940>, type='Polygon', coordinates=[[[-72.557247, 42.6969837], [-70.575095, 42.6969837], [-70.575095, 45.305476], [-72.557247, 45.305476]]]))","0","1"
"#opportunitygap","Peerceptiv","Pittsburgh, Pennsylvania, USA","False","1083083323570876417","2019-01-09 19:29:21","RT @newtechnetwork: Every student should have opportunity for deeper learning. Learn how #NewTechNetwork is working to close the #opportuni…","","1","0"
"#opportunitygap","New Tech Network","Napa, California","False","1083082254837075970","2019-01-09 19:25:06","Every student should have opportunity for deeper learning. Learn how #NewTechNetwork is working to close the #opportunitygap for over 85,000 students. https://t.co/C134DwpYzZ #suptchat #edchat #edleaders #equity https://t.co/GWtr1vPT2r","","1","1"
"#opportunitygap","Wendy Klein","Can't Cope With DM's","False","1083018525759934464","2019-01-09 15:11:52","RT @jtnwdc: ""Black Eyed Boy"" &amp; detail; 40"" x 48"", #Kilz and black gesso on plastic loading pallet.  #SocialJustice #OpportunityGap #Portlan…","","1","0"
"#opportunitygap","IndustryNewsletters","Green Cove Springs, FL","False","1082656951354486784","2019-01-08 15:15:06","Are men and women equal in the workplace yet? The short answer is no - and here's why --&gt; https://t.co/le4Za047CV #BusinessTips #OpportunityGap #WomeninBusiness","","0","0"
"#opportunitygap","James Thatcher","Southwest Oregon, USA","False","1082506264058314752","2019-01-08 05:16:20","""Black Eyed Boy"" &amp; detail; 40"" x 48"", #Kilz and black gesso on plastic loading pallet.  #SocialJustice #OpportunityGap #PortlandBiennial #ContemporaryArt #Painting #SocialRealism https://t.co/2qtHxcqhI8","","1","3"
"#opportunitygap","Media Policy Center","Santa Monica, CA","False","1082430562827067393","2019-01-08 00:15:31","Dr. Robert D. Putnam laying down the voice over tracks for the documentary 4-part series, Our Kids: The American Dream in Crisis, coming to Public Television this April! #opportunitygap #ourkids #documentaryseries https://t.co/LHY7Lwm12U","","0","2"
"#opportunitygap","Bernadeia Johnson","Minneapolis, MN","False","1082429745650913280","2019-01-08 00:12:16","RT @AchieveMpls: Hanane Kachman is a Workforce Development Consultant at @FairviewHealth. Learn how she creates career pathways for HS &amp; co…","","2","0"
"#opportunitygap","AchieveMpls","Minneapolis, MN","False","1082388914336395264","2019-01-07 21:30:01","Hanane Kachman is a Workforce Development Consultant at @FairviewHealth. Learn how she creates career pathways for HS &amp; college students, training programs for adults, internships and fellowships to help bridge the #OpportunityGap at our next #EDTalksMN.
https://t.co/bFjqxdAlsm https://t.co/mzs0AGweSV","","2","3"
"#opportunitygap","Mrs. Roczey","Iselin, NJ","False","1081311261340692483","2019-01-04 22:07:49","Great podcast! 👍 📚 #starttheconversation #opportunitygap ⁦@cultofpedagogy⁩  https://t.co/b3ezREnjkZ","","0","1"
"#opportunitygap","Lynwood Partners Educational Foundation","Lynwood, CA","False","1081234595494780928","2019-01-04 17:03:10","RT @School2Home: Show parents in your community the benefits of having a #homeInternet connection🖥️ Check out the #S2H #Teacher #Profession…","","10","0"
