"Search Term","Username","Location","Verified User?","Tweet ID","Tweet Time","Tweet Text","Tweet Place","Retweet Count","Favorite Count"
"#schooldistricts","146reads","Joliet, IL","False","1084559162355396616","2019-01-13 21:13:49","Your candidates should follow @teachkate @cultofpedagogy @DitchThatTxtbk  @alicekeeler the #schooldistricts they are planning to apply at and of course @146reads1  Thanks for the honor #TTLs19 https://t.co/awZP4clSzz","","0","1"
"#schooldistricts","𝔻𝕣. 𝕂𝕪𝕞𝕞 𝔹𝕒𝕝𝕝𝕒𝕣𝕕","North Carolina","False","1084543745511571461","2019-01-13 20:12:33","25 grants worth $1k for Movement Academy's Active Classroom Program available only to Active Schools Champions. It’s FREE to become a Champion at Active Schools US. #physed #physicalactivity #schooldistricts #grades  https://t.co/QmBeV9Dug1","","0","0"
"#schooldistricts","eCare Vault, Inc.","Boston, MA","False","1084120275472535552","2019-01-12 16:09:50","How eCare Vault helps #SchoolDistricts do more for their students by bring school documents like #IEPs and #504s to life. https://t.co/BFD8UYNJrP","","0","0"
"#schooldistricts","eCare Vault, Inc.","Boston, MA","False","1083844030788706304","2019-01-11 21:52:08","What can #SchoolDistricts do to help their #School Principals reach their full potential as great leaders? https://t.co/UfWC8xVsJf","","0","0"
"#schooldistricts","Solix Inc.","Parsippany, New Jersey, USA","False","1083842650954969090","2019-01-11 21:46:39","The Solix E-rate consulting team is now offering its unparalleled expertise to help clients in applying for and maximizing their eligible funding for FY2019: https://t.co/9Idqy78N53

#erate #schools #libraries #broadband #schooldistricts #education #tech https://t.co/Wx3utR5Gao","","0","0"
"#schooldistricts","Dust Free Corp.","Brooklyn, NY","False","1083796693982814208","2019-01-11 18:44:02","We're almost in the dead of #winter &amp; this time of the year can be disruptive for a #residentialcleaning biz. Here are some great tips on how to maneuver during the cold season. https://t.co/LWLHpb9RZL #scheduling #schooldistricts #policies #DustFreeCorp. @CleaningBusinessToday https://t.co/tACWWf7pel","","0","0"
"#schooldistricts","Michelle Griffo","California, USA","False","1083502419244240896","2019-01-10 23:14:41","RT @wschics: ""@teachyrheartout is a conference I wished I could’ve attended as a first-year teacher, and exactly what I needed as a veteran…","","2","0"
"#schooldistricts","Teach Your Heart Out","Atlanta, GA","False","1083458339776937984","2019-01-10 20:19:32","RT @wschics: ""@teachyrheartout is a conference I wished I could’ve attended as a first-year teacher, and exactly what I needed as a veteran…","","2","0"
"#schooldistricts","thewrightstuffchics","Atlanta, GA","False","1083448392817111040","2019-01-10 19:40:01","""@teachyrheartout is a conference I wished I could’ve attended as a first-year teacher, and exactly what I needed as a veteran #teacher. I gained so many creative and practical ideas to take back to my #school and #classroom immediately!"" https://t.co/IWJZXgYRex
 #schooldistricts https://t.co/D0SIEV9xUP","","2","1"
"#schooldistricts","Firearms Lawyer","North Idaho-Spokane","False","1083435183037018113","2019-01-10 18:47:31","RT @firearmslawyer: Teachers with guns? Many legislatures &amp; #SchoolDistricts in other states have now authorized armed personnel on school…","","2","0"
"#schooldistricts","Delighted Kougar","Deplorable Militant Normal","False","1083430490076516357","2019-01-10 18:28:52","RT @firearmslawyer: Teachers with guns? Many legislatures &amp; #SchoolDistricts in other states have now authorized armed personnel on school…","","2","0"
"#schooldistricts","Raul Leonidas Nuques","San Antonio, TX","False","1083429812251885568","2019-01-10 18:26:11","#education #EducationForAll #educationalleadership #Latinos4Ed #LatinoLeadership #LatinoSuperintendents 
#superintendents #educationalleadership #schooldistricts #teachersday #teachersfollowteachers #educationforfuture #educationfirst #educationandschools https://t.co/aKyL0dVDPT","","0","0"
"#schooldistricts","Firearms Lawyer","North Idaho-Spokane","False","1083427986873831424","2019-01-10 18:18:55","Teachers with guns? Many legislatures &amp; #SchoolDistricts in other states have now authorized armed personnel on school premises. Federal &amp; #Washington state law leave it up to school boards to designate who will be armed in Washington schools #Spokane  https://t.co/0Lh0S9uhwv","","2","1"
"#schooldistricts","NCEast Alliance","North Carolina, USA","False","1083137908427636736","2019-01-09 23:06:15","@NENCPathways Yes indeed. And the rest of our 12 @StemEast #schooldistricts are preparing to replicate what Craven &amp; Carteret Districts have done - introducing #teachability #employability #skill programs. #NortheastSTEM is rising.","","0","2"
"#schooldistricts","Paul Emanuelli","Canada","False","1083119407080108032","2019-01-09 21:52:44","Bill introduced to set same procurement standards for district, charter schools https://t.co/zc8Cqm3bPS #charterschools #schooldistricts #procurementstandard #johnfillmore","","0","0"
"#schooldistricts","LearnPlatform","","False","1083108429961543681","2019-01-09 21:09:07","Class instruction, school operations, and budget all play a role in edtech. We are here to help you make the best decisions for all three. https://t.co/Z4wNNB9xtI #edtechmgmt #schooldistricts https://t.co/m9sBGbvndI","","0","0"
"#schooldistricts","TheDailyEDU","","False","1083096256929587200","2019-01-09 20:20:45","RT @StuderEducation: How can we as Principals and Superintendents ensure our teachers and students are getting access to STEM resources? #e…","","1","0"
