"Search Term","Username","Location","Verified User?","Tweet ID","Tweet Time","Tweet Text","Tweet Place","Retweet Count","Favorite Count"
"#schoolfinance","Allison G. Heinrich","Austin, Texas","False","1084511934349799426","2019-01-13 18:06:09","RT @TXCapTonight: WATCH: @BucyForTexas talks first week at #txlege, #schoolfinance reform https://t.co/ngCjFiyLP2","","5","0"
"#schoolfinance","rhonda bernard","","False","1084260531467444225","2019-01-13 01:27:09","RT @tasanet: New Texas House Speaker Bonnen pledges unrelenting push for education funding https://t.co/fwPElsFPaM #txed #schoolfinance","","52","0"
"#schoolfinance","Mary Gonzalez","Texas House District 75","True","1084158434981937159","2019-01-12 18:41:28","RT @MALCTx: It's time that we do right by our kids and properly fund our neighborhood schools 👩‍🎓 #TXLege #publiceducation #schoolfinance h…","","14","0"
"#schoolfinance","Lubbock Democrats","Lubbock, TX","False","1084130894493945860","2019-01-12 16:52:02","RT @MALCTx: It's time that we do right by our kids and properly fund our neighborhood schools 👩‍🎓 #TXLege #publiceducation #schoolfinance h…","","14","0"
"#schoolfinance","Evans Mulera","","False","1084066499382468608","2019-01-12 12:36:09","RT @MaryNgile: SALP 100: School Administration Finance Leadership and Management, Mombasa                         https://t.co/nHBzXU5eKa h…","","2","0"
"#schoolfinance","Evans Mulera","","False","1084066085584949249","2019-01-12 12:34:30","RT @MaryNgile: #Schoolsfinanceleadership 
#SchoolFinance 
@CapaBuil_Ltd https://t.co/NtnhGMwUK6","","2","0"
"#schoolfinance","SuchFertileChaos","Austin, TX","False","1083956634093867008","2019-01-12 05:19:35","RT @MALCTx: It's time that we do right by our kids and properly fund our neighborhood schools 👩‍🎓 #TXLege #publiceducation #schoolfinance h…","","14","0"
"#schoolfinance","Gina Hinojosa","Austin, Texas","False","1083935237246087174","2019-01-12 03:54:33","RT @MALCTx: It's time that we do right by our kids and properly fund our neighborhood schools 👩‍🎓 #TXLege #publiceducation #schoolfinance h…","","14","0"
"#schoolfinance","TYD Rural Caucus","Texas","False","1083908609963110401","2019-01-12 02:08:45","RT @MALCTx: It's time that we do right by our kids and properly fund our neighborhood schools 👩‍🎓 #TXLege #publiceducation #schoolfinance h…","","14","0"
"#schoolfinance","West Texas Coalition of Democrats","Texas, USA","False","1083905987042516992","2019-01-12 01:58:19","RT @MALCTx: It's time that we do right by our kids and properly fund our neighborhood schools 👩‍🎓 #TXLege #publiceducation #schoolfinance h…","","14","0"
"#schoolfinance","Charles Woods","ÜT: 29.735807,-95.75362","False","1083901978617495552","2019-01-12 01:42:24","RT @tasanet: New Texas House Speaker Bonnen pledges unrelenting push for education funding https://t.co/fwPElsFPaM #txed #schoolfinance","","52","0"
"#schoolfinance","Stuart Williams","Texas, USA","False","1083892191725060096","2019-01-12 01:03:30","RT @MALCTx: It's time that we do right by our kids and properly fund our neighborhood schools 👩‍🎓 #TXLege #publiceducation #schoolfinance h…","","14","0"
"#schoolfinance","Stephanie Zúñiga","Texas, USA","False","1083870972392943617","2019-01-11 23:39:11","RT @MALCTx: It's time that we do right by our kids and properly fund our neighborhood schools 👩‍🎓 #TXLege #publiceducation #schoolfinance h…","","14","0"
"#schoolfinance","Peter Perez","Round Rock, TX","False","1083851503700529152","2019-01-11 22:21:50","RT @tasanet: New Texas House Speaker Bonnen pledges unrelenting push for education funding https://t.co/fwPElsFPaM #txed #schoolfinance","","52","0"
"#schoolfinance","Rafael Anchía","Oak Cliff, TX","True","1083846590010441728","2019-01-11 22:02:18","RT @MALCTx: It's time that we do right by our kids and properly fund our neighborhood schools 👩‍🎓 #TXLege #publiceducation #schoolfinance h…","","14","0"
"#schoolfinance","Stuart Williams","Texas, USA","False","1083815007249403905","2019-01-11 19:56:48","RT @CPPP_TX: In case you missed this tweet on the first day of session, here's a particularly helpful #txlege link with tons of info on #Sc…","","2","0"
"#schoolfinance","Mexican American Legislative Leadership Foundation","Austin, TX","False","1083805542768930818","2019-01-11 19:19:12","RT @MALCTx: It's time that we do right by our kids and properly fund our neighborhood schools 👩‍🎓 #TXLege #publiceducation #schoolfinance h…","","14","0"
"#schoolfinance","Dr. Howell Wright","Burkeville, Texas","False","1083789116213473281","2019-01-11 18:13:55","RT @tasanet: ""If there is a school that is failing, why are we not more willing to fix it?” Bonnen, R-Angleton, told several hundred attend…","","3","0"
"#schoolfinance","Lucy A. Villareal, Ed.D.","Kingsville-Laredo- RGV- Tx","False","1083779268973342720","2019-01-11 17:34:48","RT @tasanet: ""If there is a school that is failing, why are we not more willing to fix it?” Bonnen, R-Angleton, told several hundred attend…","","3","0"
"#schoolfinance","MALC","Texas House of Representatives","True","1083770124929298434","2019-01-11 16:58:27","It's time that we do right by our kids and properly fund our neighborhood schools 👩‍🎓 #TXLege #publiceducation #schoolfinance https://t.co/5GlabtmWwc","","14","25"
"#schoolfinance","sylvia lazos","Henderson, NV","False","1083769781499641857","2019-01-11 16:57:06","@SuptJaraCCSD aft 30 mins addressing modernizing #schoolfinance #NVPlan. Seems clear #NVLeg2019 will change formula, but $2 Billion per year required to fill need.","","0","1"
"#schoolfinance","John H Bucy III","Austin (Williamson County), TX","False","1083757828131700737","2019-01-11 16:09:36","RT @TXCapTonight: WATCH: @BucyForTexas talks first week at #txlege, #schoolfinance reform https://t.co/ngCjFiyLP2","","5","0"
"#schoolfinance","Michael Bohensky","","False","1083756253187395585","2019-01-11 16:03:20","RT @tasanet: ""If there is a school that is failing, why are we not more willing to fix it?” Bonnen, R-Angleton, told several hundred attend…","","3","0"
"#schoolfinance","Rob Geletko","Mount Lebanon, PA","False","1083753863864307712","2019-01-11 15:53:50","RT @Forecast5: A great story out of Oregon on how @BeavertonSD was able to use comparison analytics to identify outliers and improve inform…","","2","0"
"#schoolfinance","SBS","UK & Dubai","False","1083750626536902657","2019-01-11 15:40:59","Join Dorset and Hampshire #SBMs at the #SBSBizSW South West School Business Network breakfast meeting 17th Jan in Poole - https://t.co/FDHAt4DbHj
#schoolbusiness #schoolfinance","","0","0"
"#schoolfinance","TASAnet","Austin, TX","False","1083749012396752898","2019-01-11 15:34:34","""If there is a school that is failing, why are we not more willing to fix it?” Bonnen, R-Angleton, told several hundred attendees at a breakfast in downtown Austin hosted by a conservative think tank. https://t.co/V2P0dlPyQV #txed #schoolfinance","","3","11"
"#schoolfinance","KarinaKling","Austin, TX","True","1083729572955344896","2019-01-11 14:17:19","RT @TXCapTonight: WATCH: @BucyForTexas talks first week at #txlege, #schoolfinance reform https://t.co/ngCjFiyLP2","","5","0"
