"Search Term","Username","Location","Verified User?","Tweet ID","Tweet Time","Tweet Text","Tweet Place","Retweet Count","Favorite Count"
"#schoolreform","Scott Hutton","","False","1084519219725848576","2019-01-13 18:35:06","This is great way to evaluate your stem program..https://t.co/HoOujdWemd  #shecanSTEM #womenintech #womeninstem #science #tech #art #engineering #math #dropouts #blackedu #latinoedu #urbanedu #schoolreform #dfwatw","","0","0"
"#schoolreform","FastPastPapers.com","","False","1084438176113065984","2019-01-13 13:13:03","Rules for Teachers - 1915 (Old Sacramento Schoolhouse Museum) Two petticoat are going to be a bit of a problem - I haven’t even got one! #ntchat #ukedchat #edchat #whatischool #histedchat #historyteaching #schoolreform https://t.co/0gFvZWNCWd","","0","0"
"#schoolreform","Peggy McClain","Communist Tempe","False","1084205254483181568","2019-01-12 21:47:30","RT @KimFisher4edu: @RedForEdFACTS @oh_Yeah_AZ @ReporterGreen @Noah__Karvelis @brahmresnik @StephParra08 You want more $$$ in the class? Mor…","","5","0"
"#schoolreform","Gudiel Crosthwaite, PhD","Los Angeles, CA","False","1084168385620049920","2019-01-12 19:21:00","Saturday morning with CSEA #schoolreform #capcity #leadership #improvinglives csea #CSEAAreaG @ Cerritos College https://t.co/Aj8wdeDLki","Place(place_type='city', contained_within=[], full_name='Cerritos, CA', country_code='US', _api=<tweepy.api.API object at 0x7fe8d9bd6908>, url='https://api.twitter.com/1.1/geo/id/19d41c6eff11e9d6.json', name='Cerritos', attributes={}, bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fe8d9bd6908>, coordinates=[[[-118.108568, 33.84596], [-118.02881, 33.84596], [-118.02881, 33.887971], [-118.108568, 33.887971]]], type='Polygon'), country='United States', id='19d41c6eff11e9d6')","0","0"
"#schoolreform","TRUTH is out AZ parents","USA","False","1084123392733671424","2019-01-12 16:22:13","RT @KimFisher4edu: @RedForEdFACTS @oh_Yeah_AZ @ReporterGreen @Noah__Karvelis @brahmresnik @StephParra08 You want more $$$ in the class? Mor…","","5","0"
"#schoolreform","Libertarian Freedom of Choice!","Mesa, AZ","False","1084119990133972993","2019-01-12 16:08:42","RT @KimFisher4edu: @RedForEdFACTS @oh_Yeah_AZ @ReporterGreen @Noah__Karvelis @brahmresnik @StephParra08 You want more $$$ in the class? Mor…","","5","0"
"#schoolreform","Dispatch","Front Lines of AZ.","False","1084112541314215936","2019-01-12 15:39:06","RT @KimFisher4edu: @RedForEdFACTS @oh_Yeah_AZ @ReporterGreen @Noah__Karvelis @brahmresnik @StephParra08 You want more $$$ in the class? Mor…","","5","0"
"#schoolreform","New Front","United States","False","1084086129010208775","2019-01-12 13:54:09","RT @KimFisher4edu: @RedForEdFACTS @oh_Yeah_AZ @ReporterGreen @Noah__Karvelis @brahmresnik @StephParra08 You want more $$$ in the class? Mor…","","5","0"
"#schoolreform","Kim Fisher","Phoenix, AZ","False","1084011552951300096","2019-01-12 08:57:48","@RedForEdFACTS @oh_Yeah_AZ @ReporterGreen @Noah__Karvelis @brahmresnik @StephParra08 You want more $$$ in the class? More $$$ to staff?  So do I.  That will never happen until districts are ran appropriately.  Abandon R4E and start a real movement for #SchoolReform all teachers aren’t the problem nor are all admin but the others are. 

$$$ won’t fix that!!","","5","3"
"#schoolreform","🇺🇸Lady_LeGrey✝️🇺🇸","Alaska, USA","False","1083492988767035392","2019-01-10 22:37:13","The school day could be reduced to 4 hours a day with ONLY actual academics were taught:  Reading, Writing, Math, Science and History...Especially History!!  #EducationReform  #SchoolReform #SchoolVouchers https://t.co/YktPzVx4XH","","1","2"
"#schoolreform","Gibson Elementary","Winston-Salem, NC","False","1083178624277192704","2019-01-10 01:48:03","#ONEGibson celebrates two of our countless Irreplaceables. Mr. Saleem, 3rd Grade Teacher and Ms. Cox, 4th Grade Teacher. We are super proud of your work and we rock because YOU ROCK!!! #SchoolReform","","0","10"
"#schoolreform","Sanjee Sivanesan","Toronto, Ontario","False","1083087127817084928","2019-01-09 19:44:28","great thread and resources fyi on future of schooling #reimagine #schoolreform https://t.co/ddDLNe2AYK","","0","0"
"#schoolreform","D.I.c post","Omagh, Northern Ireland","False","1083082936700813317","2019-01-09 19:27:49","@_Drumragh  where Is change? #schoolreform","","0","0"
"#schoolreform","Rhonda","","False","1083072250700615680","2019-01-09 18:45:21","Improving school culture combats tardiness @KHSKnights https://t.co/CXI3wcGo4W @heromatters @AdvocateforEd #DisciplineReform #Attendance #BeTheChange #SchoolReform https://t.co/CQHjB0FwKZ","","0","0"
"#schoolreform","The Kohistan kpk children vice","گھر میں ","False","1083057051834695683","2019-01-09 17:44:58","RT @ZindagiTrust: On #HumanRightsDay, support Zindagi Trust’s vision to see quality education being imparted in every Government school acr…","","7","0"
"#schoolreform","Nicole","","False","1082608230071783425","2019-01-08 12:01:30","Improving school culture combats tardiness @KHSKnights https://t.co/6JTM1HLnFv @heromatters @AdvocateforEd #DisciplineReform #Attendance #BeTheChange #SchoolReform https://t.co/x9ZiepUe5Z","","0","0"
"#schoolreform","KSD - Highlands","Kennewick, WA","False","1082423885147058177","2019-01-07 23:48:59","Improving school culture combats tardiness @KHSKnights https://t.co/CH1ZyTuxZ4 @heromatters @AdvocateforEd #DisciplineReform #Attendance #BeTheChange #SchoolReform https://t.co/CGKW2MKBEF","","0","2"
"#schoolreform","Highlands Cares","Kennewick, WA","False","1082357428698705925","2019-01-07 19:24:54","Improving school culture combats tardiness @KHSKnights https://t.co/MRxZqtnODT @heromatters @AdvocateforEd #DisciplineReform #Attendance #BeTheChange #SchoolReform https://t.co/BgOzH9GKEC","","0","0"
"#schoolreform","bart bumbo","","False","1082324974809968640","2019-01-07 17:15:57","RT @Arcenlaze: Give me #ptsd #school. #depression #schoolreform #petition #returnofthethirdreich 😣👌👌👌🔥🔥🔥🔥🔥🔥🔥🔥🍆💦💦💦💦 https://t.co/XgI8BCTeUO","","1","0"
"#schoolreform","bart bumbo","","False","1082324947358240768","2019-01-07 17:15:50","Give me #ptsd #school. #depression #schoolreform #petition #returnofthethirdreich 😣👌👌👌🔥🔥🔥🔥🔥🔥🔥🔥🍆💦💦💦💦 https://t.co/XgI8BCTeUO","","1","0"
"#schoolreform","Mintee","Texas, of course. ❤️","False","1081611465050804227","2019-01-05 18:00:43","School IS prison.
Duh.

Ask anyone.
No one goes there by choice?!

#SchoolReform https://t.co/hJN6lRpqjT","","0","3"
