"Search Term","Username","Location","Verified User?","Tweet ID","Tweet Time","Tweet Text","Tweet Place","Retweet Count","Favorite Count"
"#teachered","Michael Genzuk","iPhone: 34.074578,-117.919037","False","1084329525914218497","2019-01-13 06:01:19","Shutdown puts strain on hundreds of Native American tribes https://t.co/jt96HImMN5 
#edtech
#bilingualed
#teachered
#edchat
#MulticulturalEd
#diversity
#MultimediaLIteracy 
#Medialiteracy","","0","1"
"#teachered","STMathBrian","Bethlehem, PA","False","1084257936602554369","2019-01-13 01:16:51","RT @STMath: ""Thinking back to my time teaching high school, I realized that many of these elementary school strategies could be used—with s…","","1","0"
"#teachered","ST Math","United States","False","1084252191299420161","2019-01-13 00:54:01","""Thinking back to my time teaching high school, I realized that many of these elementary school strategies could be used—with some modifications—with middle and high school students."" 

https://t.co/IQqgrIE7pW by @edutopia #MiddleSchool #Teaching #TeacherEd https://t.co/P9TH0VJgAA","","1","2"
"#teachered","VeronicaB🙏🏻","Harlingen, TX","False","1084144287082823680","2019-01-12 17:45:15","RT @proftrumble: I’m elated to receive my score &amp; be recognized as an #ISTE Certified Educator! Being certified by The world’s leading #edt…","","2","0"
"#teachered","Miguel Guhlin","Texas","False","1084136874195775494","2019-01-12 17:15:47","RT I’m elated to receive my score &amp; be recognized as an #ISTE Certified Educator! Being certified by The world’s leading #edtech organization is an honor. This is just the beginning UCAeducation michaelsmills #teachered #teaching thanks to TCEA &amp; mguhlin… https://t.co/LZdBIBZ9eK","","0","0"
"#teachered","Miguel Guhlin","Texas","False","1084136241027788800","2019-01-12 17:13:16","RT @proftrumble: I’m elated to receive my score &amp; be recognized as an #ISTE Certified Educator! Being certified by The world’s leading #edt…","","2","0"
"#teachered","Jason Trumble","Conway, AR","False","1084131582884102144","2019-01-12 16:54:46","I’m elated to receive my score &amp; be recognized as an #ISTE Certified Educator! Being certified by The world’s leading #edtech organization is an honor. This is just the beginning @UCAeducation @michaelsmills #teachered #teaching thanks to @TCEA &amp; @mguhlin https://t.co/za3LZ5TkJM","","2","17"
"#teachered","catarina rodrigues","Estarreja, Portugal","False","1084044846019592192","2019-01-12 11:10:06","RT @EducationWoods: Consider these 5 C's of leadership. What can we do daily to support our students, our peers, and ourselves in continued…","","3","0"
"#teachered","Kory Graham","SE Minnesota","False","1083888961339183104","2019-01-12 00:50:40","RT @tyLanasaurusrex: Just finished a meeting w/ the spring #ci5307 spring instructors. Lots of collaboration and sharing to give our pre-se…","","2","0"
"#teachered","STMathBrian","Bethlehem, PA","False","1083870545232519169","2019-01-11 23:37:29","RT @STMath: Second semester is a great time to make adjustments in your teaching. These small changes add up over time and will lead to lon…","","1","0"
"#teachered","ST Math","United States","False","1083870423828389888","2019-01-11 23:37:01","Second semester is a great time to make adjustments in your teaching. These small changes add up over time and will lead to longer lasting results.

📢 Teachers Need Teachers Podcast: https://t.co/u1wG0Y7fN2 by @mrslepre #TeacherEd #teachertips https://t.co/qqpXBhWXh4","","1","5"
