"Search Term","Username","Location","Verified User?","Tweet ID","Tweet Time","Tweet Text","Tweet Place","Retweet Count","Favorite Count"
"@betsydevosed","Crewman Six 🌊 #CarpeNarrationem","GeeksResist Headquarters","False","1084590502715031553","2019-01-13 23:18:21","RT @meg_Y12: Please read and sign. @BetsyDeVosED must leave these protections in place. https://t.co/ClIQfyCbnG","","11","0"
"@betsydevosed","TThomas","","False","1084590469600940032","2019-01-13 23:18:13","@BusyElves Where is the CF.... I'm sure they're not far if it's a buffet weekend.....  

I saw a comment about #NEA being there....wonder why??   @BetsyDeVosED","","0","0"
"@betsydevosed","Dorothy Montgomery","","False","1084589456135462913","2019-01-13 23:14:11","RT @ImmaCOB: @GrainShaken @Q_101_X @catchingfireCA @BetsyDeVosED https://t.co/GLd0iUKfq4","","3","0"
"@betsydevosed","Abbie/celeb news","USA/ECSU","False","1084587079588331533","2019-01-13 23:04:45","RT @endrapeoncampus: ‼️We only have until 1/28 to advocate for survivors' #TitleIX rights. We come together collectively, creatively, and w…","","1","0"
"@betsydevosed","End Rape on Campus","Washington, DC","True","1084587051922669570","2019-01-13 23:04:38","‼️We only have until 1/28 to advocate for survivors' #TitleIX rights. We come together collectively, creatively, and with commitment. 

Join our movement. Tell @BetsyDeVosED to take her #HandsOffIX at https://t.co/g7d8QaHGiQ.

Repost 📸: @morganbeal on @Instagram https://t.co/VoVLfYRzt4","","1","1"
"@betsydevosed","Q patriot⭐⭐⭐","","False","1084586782929362946","2019-01-13 23:03:34","@BetsyDeVosED 
@realDonaldTrump

Seriously you need to crack down on schools and hold them accountable https://t.co/7WU7ehtdap","","0","0"
"@betsydevosed","Erin Coleman","Pennsylvania, USA","False","1084585777420476417","2019-01-13 22:59:34","RT @meg_Y12: Please read and sign. @BetsyDeVosED must leave these protections in place. https://t.co/ClIQfyCbnG","","11","0"
"@betsydevosed","Dorothy Montgomery","","False","1084585520758444033","2019-01-13 22:58:33","RT @Q_101_X: .@BetsyDeVosED I ask that this be investigated immediately. If this garbage has been introduced into our educational system it…","","236","0"
"@betsydevosed","ᴚѹМʊʂϯαηɠΙṥНоϯṤϯʊﬀ™❌⭐️⭐️⭐️","🇺🇸","False","1084585020449275906","2019-01-13 22:56:34","RT @ImmaCOB: @GrainShaken @Q_101_X @catchingfireCA @BetsyDeVosED https://t.co/GLd0iUKfq4","","3","0"
"@betsydevosed","ᴚѹМʊʂϯαηɠΙṥНоϯṤϯʊﬀ™❌⭐️⭐️⭐️","🇺🇸","False","1084584999272308741","2019-01-13 22:56:29","RT @ImmaCOB: @GrainShaken @Q_101_X @catchingfireCA @BetsyDeVosED One of the programs is in ORange County CA, funded by Soros - has the name…","","2","0"
"@betsydevosed","ᴚѹМʊʂϯαηɠΙṥНоϯṤϯʊﬀ™❌⭐️⭐️⭐️","🇺🇸","False","1084584951507496961","2019-01-13 22:56:17","RT @Q_101_X: .@BetsyDeVosED I ask that this be investigated immediately. If this garbage has been introduced into our educational system it…","","236","0"
"@betsydevosed","Erika Sheets","","False","1084584020384628737","2019-01-13 22:52:35","@Green0101010 @Jim_Peoples_ @realDonaldTrump  @BetsyDeVosED","","0","0"
"@betsydevosed","Felicita Luna","spring hill","False","1084583913341796353","2019-01-13 22:52:10","RT @endrapeoncampus: 🆘 The @usedgov thinks it can keep silencing survivors. Together, we can change that. Tell @BetsyDeVosED to keep her #H…","","8","0"
"@betsydevosed","Mr. Bandy Shanks™","That Dark Hole in your Mind","False","1084583905968246786","2019-01-13 22:52:08","RT @ImmaCOB: @GrainShaken @Q_101_X @catchingfireCA @BetsyDeVosED One of the programs is in ORange County CA, funded by Soros - has the name…","","2","0"
"@betsydevosed","Mr. Bandy Shanks™","That Dark Hole in your Mind","False","1084583859063324672","2019-01-13 22:51:57","RT @ImmaCOB: @GrainShaken @Q_101_X @catchingfireCA @BetsyDeVosED https://t.co/GLd0iUKfq4","","3","0"
"@betsydevosed","Mr. Bandy Shanks™","That Dark Hole in your Mind","False","1084583834560143363","2019-01-13 22:51:51","RT @ImmaCOB: @Q_101_X @BetsyDeVosED https://t.co/GLd0iUKfq4","","1","0"
"@betsydevosed","Mr. Bandy Shanks™","That Dark Hole in your Mind","False","1084583817808134146","2019-01-13 22:51:47","RT @ImmaCOB: @Q_101_X @BetsyDeVosED Orange County - Soros funded - for seven and eight year olds. Has the name ""Tides"" in it. Was an articl…","","1","0"
"@betsydevosed","Corliss Burnett","Florida, USA","False","1084582754346508288","2019-01-13 22:47:33","@Q_101_X @BetsyDeVosED https://t.co/GLd0iUKfq4","","1","0"
