"Search Term","Username","Location","Verified User?","Tweet ID","Tweet Time","Tweet Text","Tweet Place","Retweet Count","Favorite Count"
"for-profit AND college","Bark Woof","","False","1084573316160073729","2019-01-13 22:10:03","RT @Abstruse: GOP: We want TRADITIONAL 1950s American values!

Me: So new social programs? Infrastructure funding? Cheap college? No for-pr…","","9809","0"
"for-profit AND college","Jake 🥩","Manassas Park, VA","False","1084572110058651648","2019-01-13 22:05:16","RT @Abstruse: GOP: We want TRADITIONAL 1950s American values!

Me: So new social programs? Infrastructure funding? Cheap college? No for-pr…","","9809","0"
"for-profit AND college","Declan McElroy","","False","1084565972382564353","2019-01-13 21:40:52","RT @Abstruse: GOP: We want TRADITIONAL 1950s American values!

Me: So new social programs? Infrastructure funding? Cheap college? No for-pr…","","9809","0"
"for-profit AND college","David Kramer-Urner🌹","Santa Cruz, CA","False","1084563423290044416","2019-01-13 21:30:44","RT @Abstruse: GOP: We want TRADITIONAL 1950s American values!

Me: So new social programs? Infrastructure funding? Cheap college? No for-pr…","","9809","0"
"for-profit AND college","Deborah Efron","","False","1084562359698354176","2019-01-13 21:26:31","RT @BusinessForward: How Does a College Grad End Up at a For-Profit Technical School? It’s All About the Job Market — and the Value of a Ba…","","1","0"
"for-profit AND college","EEE","","False","1084561838346518529","2019-01-13 21:24:27","RT @Abstruse: GOP: We want TRADITIONAL 1950s American values!

Me: So new social programs? Infrastructure funding? Cheap college? No for-pr…","","9809","0"
"for-profit AND college","Baka-Senpai","","False","1084559501724925958","2019-01-13 21:15:10","RT @Abstruse: GOP: We want TRADITIONAL 1950s American values!

Me: So new social programs? Infrastructure funding? Cheap college? No for-pr…","","9809","0"
"for-profit AND college","Goldlärche","","False","1084555880161398784","2019-01-13 21:00:46","RT @Abstruse: GOP: We want TRADITIONAL 1950s American values!

Me: So new social programs? Infrastructure funding? Cheap college? No for-pr…","","9809","0"
"for-profit AND college","Anh","Anaheim, CA","False","1084555291847323648","2019-01-13 20:58:26","RT @Abstruse: GOP: We want TRADITIONAL 1950s American values!

Me: So new social programs? Infrastructure funding? Cheap college? No for-pr…","","9809","0"
"for-profit AND college","Bogie USAF Vet","California, USA","False","1084555191116918784","2019-01-13 20:58:02","@Kolkena @emmywinnercriss @KamalaHarris There is no such thing as tuition free college.
Colleges are either not-for-profit or for-profit.  Either way, there are associated costs of operating these colleges.  Buildings &amp; maintenance. Professors &amp; staff. Curriculum purchases.  ISD techs. Technologies.
Who pays? Taxpayers","","0","0"
"for-profit AND college","Too Dracul for School","","False","1084554995310055424","2019-01-13 20:57:15","“We’ll work to make the first two years of college accessible and affordable so for-profit universities will immediately double or triple the tuition fees for the next 2-6 years, depending on area of study.”

Fixed that for you. https://t.co/GNARfF6Ikq","","0","1"
