"Search Term","Username","Location","Verified User?","Tweet ID","Tweet Time","Tweet Text","Tweet Place","Retweet Count","Favorite Count"
"school finance","Robert Moore","","False","1084583847356817408","2019-01-13 22:51:54","@PulseofCFL Personal finance VS forgien language in high school or even college. Personal finance and music is more important. 

Thats just me...","","0","0"
"school finance","Nmharley","","False","1084583742839144448","2019-01-13 22:51:29","RT @GregAbbott_TX: We are going to fix school finance and reform property taxes this session. #txlege https://t.co/a3CmXljipH","","80","0"
"school finance","Rebecca Buckner","","False","1084583663524827136","2019-01-13 22:51:10","RT @GregAbbott_TX: We are going to fix school finance and reform property taxes this session. #txlege https://t.co/a3CmXljipH","","80","0"
"school finance","Trandall72","Florida, USA","False","1084583456057769984","2019-01-13 22:50:21","RT @GregAbbott_TX: We are going to fix school finance and reform property taxes this session. #txlege https://t.co/a3CmXljipH","","80","0"
"school finance","🇺🇸👍🇺🇸","Chicago, IL","False","1084583049575178241","2019-01-13 22:48:44","@Michelle19_24 @jpfginger @StevenTrustrum @annaachubert @RandallKraft @E_Dub01 @RCQ92130 @holdon67 @RonMyers98 @PPPTCE @MelParallel @Mammagistweetin @TraceyT078 @Mike17_D @KnucklDraginSam @BillPeriman @Red_N_Ruhd @IsraelStuartone @brenner_colleen @RichGherkin @garycp70 @Charles5646 @magaxxoo @davidf4444 @judybalda @PetePerkins8 @edbenson98 @misterdish69 @ShunaMabuchi @jimbo_always @bacchaus351 @ZZFLOPP @nuzombie4 @woesomecharlie1 @prepper1776 @ultraclassic901 @45BestPotusEvr @bronxhoops2033 @TheUnwantedBin @HollisDockins @sheila14all @rsuppenbach @Michael34133224 @STrump11 @Holmesdonna1 @rabid_trump @ThucydidesTried @Lisa30092 @BearBeverly State Sen. Luke Rankin (R-Conway), who filed the legislation, crafted a bill that would require high school students to take a one-half credit course in the subject of personal finance and pass a test at the end of the year to graduate. 

Great bill!

https://t.co/L3HJIB0hq1","","0","0"
"school finance","Surfing with DonKeyes on YouTube","Washington, USA","False","1084583007476899840","2019-01-13 22:48:34","RT @TrumpBillGates: State Sen. Luke Rankin (R-Conway), who filed the legislation, crafted a bill that would require high school students to…","","1","0"
"school finance","فريدة","London ","False","1084582959221538817","2019-01-13 22:48:22","@NazBizzleUllah Alhamdulillah. I'm a finance officer for an inclusive school. Uni helped but i might do ACCA to become fully qualified.","","0","0"
"school finance","Garrett M. Izuno","","False","1084582875675193347","2019-01-13 22:48:02","New bill would require high school students to take 'personal finance' class https://t.co/b870YkVtDF","","0","0"
"school finance","🇺🇸👍🇺🇸","Chicago, IL","False","1084582803310866436","2019-01-13 22:47:45","State Sen. Luke Rankin (R-Conway), who filed the legislation, crafted a bill that would require high school students to take a one-half credit course in the subject of personal finance and pass a test at the end of the year to graduate. 

Great bill!

https://t.co/L3HJIB0hq1","","1","1"
"school finance","James Nai","","False","1084582639246495744","2019-01-13 22:47:06","RT @GregAbbott_TX: We are going to fix school finance and reform property taxes this session. #txlege https://t.co/a3CmXljipH","","80","0"
"school finance","Jackie Branch","Bennettsville, SC","False","1084582402628960259","2019-01-13 22:46:10","RT @AWilliams_Vizor: South Carolina introducing a bill that makes a personal finance class mandatory to graduate is amazing. Should make it…","","187","0"
"school finance","❌#MAGA YESFAN❌","Texas","False","1084582207891623937","2019-01-13 22:45:23","RT @GregAbbott_TX: We are going to fix school finance and reform property taxes this session. #txlege https://t.co/a3CmXljipH","","80","0"
"school finance","André Victor","Belém, Brasil","False","1084582060298260480","2019-01-13 22:44:48","RT @GregAbbott_TX: We are going to fix school finance and reform property taxes this session. #txlege https://t.co/a3CmXljipH","","80","0"
"school finance","Minka","","False","1084582026899001345","2019-01-13 22:44:40","RT @GregAbbott_TX: We are going to fix school finance and reform property taxes this session. #txlege https://t.co/a3CmXljipH","","80","0"
"school finance","Tonecop45","Houston, TX","False","1084581629165752320","2019-01-13 22:43:05","RT @GregAbbott_TX: We are going to fix school finance and reform property taxes this session. #txlege https://t.co/a3CmXljipH","","80","0"
"school finance","JD Rodriguez III","Dilley, TX","False","1084581612283662337","2019-01-13 22:43:01","RT @GregAbbott_TX: We are going to fix school finance and reform property taxes this session. #txlege https://t.co/a3CmXljipH","","80","0"
"school finance","EaSt TeXaS cOnSeRvAtIvE pAtRiOt 🐾🇺🇸🙋 ⭐⭐⭐","Great State of Texas","False","1084581448378654720","2019-01-13 22:42:22","RT @GregAbbott_TX: We are going to fix school finance and reform property taxes this session. #txlege https://t.co/a3CmXljipH","","80","0"
"school finance","suepeac","","False","1084581412240384000","2019-01-13 22:42:13","RT @fawfulfan: While I agree with your goal, Governor, it is mathematically impossible to fix school finance AND cut property taxes unless…","","30","0"
"school finance","Texas Rising","","False","1084581187262312448","2019-01-13 22:41:20","RT @GregAbbott_TX: We are going to fix school finance and reform property taxes this session. #txlege https://t.co/a3CmXljipH","","80","0"
"school finance","NOLAgirl","somewhere down in Texas","False","1084581141695397889","2019-01-13 22:41:09","RT @fawfulfan: While I agree with your goal, Governor, it is mathematically impossible to fix school finance AND cut property taxes unless…","","30","0"
